# transitions of watched words during Start..Stop (t0 = first sample); 4000 events
# t_us csi+04 csi+28 csi+2c csi+40 csi+4c csi+50 csi+100 csi+110 csi+118 dphy+34 dphy+110 glb+00
     0.0 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
 12366.8 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 12710.1 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 00044540 00000000 000005af
 12732.6 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 12755.0 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c400 00000000 000005af
 12777.5 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0205c540 00000000 000005af
 39982.1 00000000 00000100 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0205c540 00000000 000005af
 40259.8 00000000 00001100 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 40409.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 46166.1 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 46215.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 76016.3 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 76087.1 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 77426.5 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 77437.8 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 84858.8 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 84901.1 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 98588.7 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
 98713.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
136794.3 00000000 00001000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
136835.6 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
144030.2 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
144152.5 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0205c540 00000000 000005af
