# transitions of watched words during Start..Stop (t0 = first sample); 12 events
# t_us csi+04 csi+28 csi+2c csi+40 csi+4c csi+50 csi+100 csi+110 csi+118 dphy+34 dphy+110 glb+00
     0.0 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
 20035.9 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0205c540 00000000 000005af
 20379.4 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 02044540 00000000 000005af
 20401.7 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0205c540 00000000 000005af
 20424.1 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0205c400 00000000 000005af
 20446.6 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 49798.0 00000000 00001160 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 49887.2 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
674456.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 deadbeef 000005af
674459.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f deadbeef deadbeef 000005af
674464.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 deadbeef deadbeef deadbeef deadbeef 000005af
674467.5 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
