# transitions of watched words during Start..Stop (t0 = first sample); 13 events
# t_us csi+04 csi+28 csi+2c csi+40 csi+4c csi+50 csi+100 csi+110 csi+118 dphy+34 dphy+110 glb+00
     0.0 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
 72948.9 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 00000d1f deadbeef deadbeef 000005af
 72960.4 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 73284.4 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0001c540 00000000 000005af
 73306.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 73329.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c140 00000000 000005af
 73360.4 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
100430.5 00000000 00000100 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
100531.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
725154.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 deadbeef 000005af
725157.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f deadbeef deadbeef 000005af
725163.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 deadbeef deadbeef deadbeef 000005af
725165.9 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
