Idle -> streaming register delta, SAME production boot (nanokvm MJPEG capture).
Idle 0x02400000=0xDEADBEEF; streaming 0x02400000=0x40 (ISP powered on-demand at stream-start).
0x01900000 = cpu_clk/cpu_reset (diffs = CPU-load noise, not ISP). 0x02210000 = pllc.
0x02240000 / 0x02250000 = undocumented (not in DT); per-lane/per-instance stride = likely DPHY/PLL.

=== bank 0x01900000 (7 diffs) ===
  0x019000b4 idle=0x00000310 stream=0x00000300 set=0x00000000 clr=0x00000010
  0x019000c0 idle=0xffff0000 stream=0x0000aaaa set=0x0000aaaa clr=0xffff0000
  0x019000c4 idle=0x08097ba4 stream=0xda3d8ac0 set=0xd2348040 clr=0x00007124
  0x019000c8 idle=0x0000aaaa stream=0x0000ffff set=0x00005555 clr=0x00000000
  0x019000cc idle=0xb12f2ac0 stream=0xbe116e24 set=0x0e104424 clr=0x012e00c0
  0x01900130 idle=0x00000000 stream=0x00000006 set=0x00000006 clr=0x00000000
  0x01900134 idle=0x0633afca stream=0x9a93ba29 set=0x98801021 clr=0x042005c2

=== bank 0x02240000 (16 diffs) ===
  0x02240000 idle=0x024ee165 stream=0x0250651b set=0x0010041a clr=0x000e8064
  0x02240040 idle=0x024ee167 stream=0x0250651e set=0x00100418 clr=0x000e8061
  0x02240080 idle=0x024ee167 stream=0x0250651e set=0x00100418 clr=0x000e8061
  0x022400c0 idle=0x024ee168 stream=0x0250651e set=0x00100416 clr=0x000e8060
  0x02240100 idle=0x024ee168 stream=0x0250651e set=0x00100416 clr=0x000e8060
  0x02240140 idle=0x024ee168 stream=0x0250651e set=0x00100416 clr=0x000e8060
  0x02240180 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x022401c0 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x02240200 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x02240240 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x02240280 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x022402c0 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x02240300 idle=0x024ee168 stream=0x0250651f set=0x00100417 clr=0x000e8060
  0x02240340 idle=0x024ee16a stream=0x0250651f set=0x00100415 clr=0x000e8060
  0x02240380 idle=0x024ee16a stream=0x0250651f set=0x00100415 clr=0x000e8060
  0x022403c0 idle=0x024ee16a stream=0x0250651f set=0x00100415 clr=0x000e8060

=== bank 0x02250000 (16 diffs) ===
  0x02250000 idle=0x9a704b14 stream=0x9ec5d638 set=0x04859428 clr=0x00300904
  0x02250074 idle=0x00000000 stream=0x9a9341db set=0x9a9341db clr=0x00000000
  0x02250078 idle=0x00000000 stream=0x00000006 set=0x00000006 clr=0x00000000
  0x022500c8 idle=0x00000000 stream=0x00000002 set=0x00000002 clr=0x00000000
  0x02250100 idle=0x9a705402 stream=0x9ec5df32 set=0x04858b30 clr=0x00300000
  0x02250174 idle=0x00000000 stream=0x9a9341db set=0x9a9341db clr=0x00000000
  0x02250178 idle=0x00000000 stream=0x00000006 set=0x00000006 clr=0x00000000
  0x022501c8 idle=0x00000000 stream=0x00000002 set=0x00000002 clr=0x00000000
  0x02250200 idle=0x9a705642 stream=0x9ec5e172 set=0x0485a130 clr=0x00301600
  0x02250274 idle=0x00000000 stream=0x9a9341db set=0x9a9341db clr=0x00000000
  0x02250278 idle=0x00000000 stream=0x00000006 set=0x00000006 clr=0x00000000
  0x022502c8 idle=0x00000000 stream=0x00000002 set=0x00000002 clr=0x00000000
  0x02250300 idle=0x9a705882 stream=0x9ec5e3b2 set=0x0485a330 clr=0x00301800
  0x02250374 idle=0x00000000 stream=0x9a9341db set=0x9a9341db clr=0x00000000
  0x02250378 idle=0x00000000 stream=0x00000006 set=0x00000006 clr=0x00000000
  0x022503c8 idle=0x00000000 stream=0x00000002 set=0x00000002 clr=0x00000000

=== bank 0x02340000 (3 diffs) ===
  0x02340024 idle=0x0000c400 stream=0x0000c600 set=0x00000200 clr=0x00000000
  0x023403d8 idle=0x00000000 stream=0x00002001 set=0x00002001 clr=0x00000000
  0x023403f0 idle=0x00000000 stream=0x00000003 set=0x00000003 clr=0x00000000

=== bank 0x02500000 (12 diffs) ===
  0x02500000 idle=0x000005ac stream=0x000005af set=0x00000003 clr=0x00000000
  0x02500004 idle=0x00000000 stream=0x0000003f set=0x0000003f clr=0x00000000
  0x02500008 idle=0x00000000 stream=0x000003fe set=0x000003fe clr=0x00000000
  0x0250000c idle=0xffffffff stream=0x00000000 set=0x00000000 clr=0xffffffff
  0x02500010 idle=0x006fffff stream=0x00000000 set=0x00000000 clr=0x006fffff
  0x02500090 idle=0x00000000 stream=0x00230001 set=0x00230001 clr=0x00000000
  0x02500098 idle=0x00000000 stream=0x00056319 set=0x00056319 clr=0x00000000
  0x025000a8 idle=0x00000000 stream=0x00000001 set=0x00000001 clr=0x00000000
  0x025000b0 idle=0x00000010 stream=0x00000030 set=0x00000020 clr=0x00000000
  0x025000b8 idle=0xffffffff stream=0x156a8c04 set=0x00000000 clr=0xea9573fb
  0x025000c0 idle=0x00000000 stream=0x62626262 set=0x62626262 clr=0x00000000
  0x025000c4 idle=0x00000000 stream=0x00000f0f set=0x00000f0f clr=0x00000000

