                                 enable  prepare  protect                                duty  hardware                            connection
   clock                          count    count    count        rate   accuracy phase  cycle    enable   consumer                         id
---------------------------------------------------------------------------------------------------------------------------------------------
 pclk_pinmux_eb                      1       1        0        0           0          0     50000      Y   deviceless                      no_connection_id         
 pclk_sdio_m_eb                      1       1        0        0           0          0     50000      Y   deviceless                      no_connection_id         
 pclk_sd_m_eb                        1       1        0        0           0          0     50000      Y   deviceless                      no_connection_id         
 aclk_sdio_m_eb                      1       1        0        0           0          0     50000      Y   deviceless                      no_connection_id         
 aclk_sd_m_eb                        1       1        0        0           0          0     50000      Y   deviceless                      no_connection_id         
 clk_csi_tx_esc_eb                   0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
 clk_dphy2csi_hs_eb                  0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
 clk_dphy2dsi_hs_eb                  0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
 clk_dphy_tx_pll_cg_eb               0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
 clk_dphy_tx_pll_div7_cg_eb          0       0        0        0           0          0     50000      N   deviceless                      no_connection_id         
 dpll                                0       0        0        3200000000  0          0     50000      Y   deviceless                      no_connection_id         
    dpll_3200m                       0       0        0        3200000000  0          0     50000      Y      deviceless                      no_connection_id         
       dpll_1600m                    0       0        0        1600000000  0          0     50000      Y         deviceless                      no_connection_id         
          dpll_800m                  0       0        0        800000000   0          0     50000      Y            deviceless                      no_connection_id         
             dpll_400m               0       0        0        400000000   0          0     50000      Y               deviceless                      no_connection_id         
                dpll_200m            0       0        0        200000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   dpll_100m         0       0        0        100000000   0          0     50000      Y                     deviceless                      no_connection_id         
                      dpll_50m       0       0        0        50000000    0          0     50000      Y                        deviceless                      no_connection_id         
                         dpll_25m    0       0        0        25000000    0          0     50000      Y                           deviceless                      no_connection_id         
 epll                                1       1        0        1500000000  0          0     50000      Y   deviceless                      no_connection_id         
    epll_1500m                       1       1        0        1500000000  0          0     50000      Y      deviceless                      no_connection_id         
       epll_750m                     0       0        0        750000000   0          0     50000      Y         deviceless                      no_connection_id         
          epll_375m                  0       0        0        375000000   0          0     50000      Y            deviceless                      no_connection_id         
       epll_500m                     2       2        0        500000000   0          0     50000      Y         deviceless                      no_connection_id         
          clk_csi_async_sel          0       0        0        500000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_csi_async_eb        0       0        0        500000000   0          0     50000      N               deviceless                      no_connection_id         
          epll_100m                  1       1        0        100000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_vi_sel              0       0        0        100000000   0          0     50000      Y               deviceless                      no_connection_id         
             epll_50m                2       2        0        50000000    0          0     50000      Y               deviceless                      no_connection_id         
