
=== phase A cold (empty cache)
    resource                                     status  source           bytes  cache-control / etag
    /                                               200  network            627  - | -
    assets/index-Bg_C9wJe.js                        200  network         600818  - | -
    assets/index-Bu-yeoLU.css                       200  network          24175  - | -
    assets/index-Cy1w9TtM.js                        200  network         899535  - | -
    assets/head-yNmFTqot.js                         200  network         229790  - | -
    assets/network-B2_tboHq.js                      200  network          43217  - | -
    assets/LockOutlined-B4RRqdD7.js                 200  network           1080  - | -
    assets/index-Cyfg8h__.js                        200  network          31079  - | -
    assets/Skeleton-BFpi9XrP.js                     200  network           9891  - | -
    assets/auth-Ctc668sT.js                         200  network         104208  - | -
    assets/index-B-SPelWm.css                       200  network           4890  - | -
    sipeed.ico                                      200  network          17026  - | -
    api/vm/web-title                                200  network             78  - | -
    api/auth/password                               200  network            104  - | -
    api/stream/mode                                 200  network             66  - | -
    api/stream/rate-control                         200  network             63  - | -
    api/vm/gpio                                     200  network             86  - | -
    api/application/version                         200  network            106  - | -
    api/vm/menubar                                  200  network             83  - | -
    api/hid/shortcut/leader-key                     200  network             72  - | -
    api/stream/quality                              200  network             63  - | -
    api/stream/gop                                  200  network             63  - | -
    api/stream/fps                                  200  network             63  - | -
    api/vm/gpio                                     200  network            106  - | -

=== phase B fresh navigation (warm cache)
    resource                                     status  source           bytes  cache-control / etag
    /                                               200  disk-cache           0  - | -
    assets/index-Bg_C9wJe.js                        200  disk-cache           0  - | -
    assets/index-Bu-yeoLU.css                       200  disk-cache           0  - | -
    assets/index-Cy1w9TtM.js                        200  disk-cache           0  - | -
    assets/head-yNmFTqot.js                         200  disk-cache           0  - | -
    assets/network-B2_tboHq.js                      200  disk-cache           0  - | -
    assets/LockOutlined-B4RRqdD7.js                 200  disk-cache           0  - | -
    assets/index-Cyfg8h__.js                        200  disk-cache           0  - | -
    assets/Skeleton-BFpi9XrP.js                     200  disk-cache           0  - | -
    assets/auth-Ctc668sT.js                         200  disk-cache           0  - | -
    assets/index-B-SPelWm.css                       200  disk-cache           0  - | -
    api/vm/web-title                                200  network            101  - | -
    api/auth/password                               200  network             78  - | -
    api/stream/mode                                 200  network             63  - | -
    api/stream/rate-control                         200  network             63  - | -
    api/vm/gpio                                     200  network             83  - | -
    api/application/version                         200  network            103  - | -
    api/vm/menubar                                  200  network             83  - | -
    api/hid/shortcut/leader-key                     200  network             69  - | -
    api/stream/quality                              200  network             63  - | -
    api/stream/gop                                  200  network             63  - | -
    api/stream/fps                                  200  network             63  - | -
    api/vm/gpio                                     200  network            106  - | -

=== phase C reload (F5, warm cache)
    resource                                     status  source           bytes  cache-control / etag
    /                                               200  network             38  - | -
    assets/index-Bg_C9wJe.js                        200  disk-cache           0  - | -
    assets/index-Bu-yeoLU.css                       200  disk-cache           0  - | -
    assets/index-Cy1w9TtM.js                        200  disk-cache           0  - | -
    assets/head-yNmFTqot.js                         200  disk-cache           0  - | -
    assets/network-B2_tboHq.js                      200  disk-cache           0  - | -
    assets/LockOutlined-B4RRqdD7.js                 200  disk-cache           0  - | -
    assets/index-Cyfg8h__.js                        200  disk-cache           0  - | -
    assets/Skeleton-BFpi9XrP.js                     200  disk-cache           0  - | -
    assets/auth-Ctc668sT.js                         200  disk-cache           0  - | -
    assets/index-B-SPelWm.css                       200  disk-cache           0  - | -
    api/vm/web-title                                200  network             78  - | -
    api/auth/password                               200  network             78  - | -
    api/stream/mode                                 200  network             63  - | -
    api/stream/rate-control                         200  network             63  - | -
    api/vm/gpio                                     200  network             83  - | -
    api/application/version                         200  network            103  - | -
    api/vm/menubar                                  200  network             83  - | -
    api/hid/shortcut/leader-key                     200  network             69  - | -
    sipeed.ico                                      200  disk-cache           0  - | -
    api/stream/quality                              200  network             63  - | -
    api/stream/gop                                  200  network             63  - | -
    api/stream/fps                                  200  network             63  - | -
    api/vm/gpio                                     200  network            106  - | -
