=== pool_asic3: priming H.264 encode (6 frames @ 8000 kbps) ===
  read_img[0] rc=1 len=32
  read_img[1] rc=2 len=8
  read_img[2] rc=3 len=19439
  read_img[3] rc=4 len=11365
  read_img[4] rc=4 len=10490
  read_img[5] rc=4 len=8078
=== encoder register image base (first 0x90101010) = 0x7381c800 ===
=== FULL RAW DUMP: encoder register image, swreg0..319 (absolute phys) ===
phys=0x7381c800  +0x000  swreg0    0x90101010
phys=0x7381c804  +0x004  swreg1    0x00000805
phys=0x7381c808  +0x008  swreg2    0x000000f0
phys=0x7381c80c  +0x00c  swreg3    0xff000000
phys=0x7381c810  +0x010  swreg4    0x4090004a
phys=0x7381c814  +0x014  swreg5    0x3c044302
phys=0x7381c818  +0x018  swreg6    0x00000003
phys=0x7381c81c  +0x01c  swreg7    0x80022000
phys=0x7381c820  +0x020  swreg8    0x749ce028
phys=0x7381c824  +0x024  swreg9    0x00004bef
phys=0x7381c828  +0x028  swreg10   0x7541f008
phys=0x7381c82c  +0x02c  swreg11   0x00000000
phys=0x7381c830  +0x030  swreg12   0x73c45000
phys=0x7381c834  +0x034  swreg13   0x74039800
phys=0x7381c838  +0x038  swreg14   0x74233c00
phys=0x7381c83c  +0x03c  swreg15   0x74de5000
phys=0x7381c840  +0x040  swreg16   0x75221000
phys=0x7381c844  +0x044  swreg17   0x00000030
phys=0x7381c848  +0x048  swreg18   0x00000000
phys=0x7381c84c  +0x04c  swreg19   0x00000000
phys=0x7381c850  +0x050  swreg20   0x00000000
phys=0x7381c854  +0x054  swreg21   0x00000000
phys=0x7381c858  +0x058  swreg22   0x0000000c
phys=0x7381c85c  +0x05c  swreg23   0xffffffff
phys=0x7381c860  +0x060  swreg24   0xffffffff
phys=0x7381c864  +0x064  swreg25   0xffffffff
phys=0x7381c868  +0x068  swreg26   0x54551760
phys=0x7381c86c  +0x06c  swreg27   0x76306300
phys=0x7381c870  +0x070  swreg28   0x00000000
phys=0x7381c874  +0x074  swreg29   0x00000000
phys=0x7381c878  +0x078  swreg30   0x00000000
phys=0x7381c87c  +0x07c  swreg31   0x00000000
phys=0x7381c880  +0x080  swreg32   0x00000000
