RC: cbr 2000 kbps @ 60 fps gop 30, seed QP 37
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame   0: IDR qp=37 wait=0 bytes=681    cycles=2090514  nal=5 ok
frame   1: P   qp=40 wait=0 bytes=125    cycles=2043172  nal=1 ok
frame   2: P   qp=38 wait=0 bytes=183    cycles=2043194  nal=1 ok
frame   3: P   qp=37 wait=0 bytes=266    cycles=2043173  nal=1 ok
frame   4: P   qp=36 wait=0 bytes=430    cycles=2043171  nal=1 ok
frame   5: P   qp=35 wait=0 bytes=728    cycles=2043172  nal=1 ok
frame   6: P   qp=34 wait=0 bytes=552    cycles=2043166  nal=1 ok
frame   7: P   qp=33 wait=0 bytes=442    cycles=2043171  nal=1 ok
frame   8: P   qp=32 wait=0 bytes=638    cycles=2043171  nal=1 ok
frame   9: P   qp=31 wait=0 bytes=481    cycles=2043171  nal=1 ok
frame  10: P   qp=30 wait=0 bytes=242    cycles=2043172  nal=1 ok
frame  11: P   qp=29 wait=0 bytes=603    cycles=2043291  nal=1 ok
frame  12: P   qp=28 wait=0 bytes=135    cycles=2043172  nal=1 ok
frame  13: P   qp=27 wait=0 bytes=616    cycles=2043171  nal=1 ok
frame  14: P   qp=26 wait=0 bytes=145    cycles=2043192  nal=1 ok
frame  15: P   qp=26 wait=0 bytes=114    cycles=2043172  nal=1 ok
frame  16: P   qp=26 wait=0 bytes=146    cycles=2043172  nal=1 ok
frame  17: P   qp=26 wait=0 bytes=99     cycles=2043172  nal=1 ok
frame  18: P   qp=26 wait=0 bytes=135    cycles=2043191  nal=1 ok
frame  19: P   qp=26 wait=0 bytes=100    cycles=2043192  nal=1 ok
frame  20: P   qp=26 wait=0 bytes=137    cycles=2043171  nal=1 ok
frame  21: P   qp=26 wait=0 bytes=101    cycles=2043222  nal=1 ok
frame  22: P   qp=26 wait=0 bytes=137    cycles=2043171  nal=1 ok
frame  23: P   qp=26 wait=0 bytes=100    cycles=2043216  nal=1 ok
frame  24: P   qp=26 wait=0 bytes=136    cycles=2043171  nal=1 ok
frame  25: P   qp=26 wait=0 bytes=114    cycles=2043171  nal=1 ok
frame  26: P   qp=26 wait=0 bytes=140    cycles=2043176  nal=1 ok
frame  27: P   qp=26 wait=0 bytes=100    cycles=2043171  nal=1 ok
frame  28: P   qp=26 wait=0 bytes=139    cycles=2043172  nal=1 ok
frame  29: P   qp=26 wait=0 bytes=101    cycles=2043171  nal=1 ok
frame  30: IDR qp=35 wait=0 bytes=717    cycles=2090948  nal=5 ok
frame  31: P   qp=38 wait=0 bytes=193    cycles=2043171  nal=1 ok
frame  32: P   qp=37 wait=0 bytes=337    cycles=2043191  nal=1 ok
frame  33: P   qp=36 wait=0 bytes=343    cycles=2043191  nal=1 ok
frame  34: P   qp=35 wait=0 bytes=606    cycles=2043210  nal=1 ok
frame  35: P   qp=34 wait=0 bytes=526    cycles=2043191  nal=1 ok
frame  36: P   qp=33 wait=0 bytes=682    cycles=2043173  nal=1 ok
frame  37: P   qp=32 wait=0 bytes=767    cycles=2043175  nal=1 ok
frame  38: P   qp=31 wait=0 bytes=604    cycles=2043174  nal=1 ok
frame  39: P   qp=30 wait=0 bytes=126    cycles=2043195  nal=1 ok
frame  40: P   qp=29 wait=0 bytes=510    cycles=2043193  nal=1 ok
frame  41: P   qp=28 wait=0 bytes=108    cycles=2043173  nal=1 ok
frame  42: P   qp=27 wait=0 bytes=675    cycles=2043193  nal=1 ok
frame  43: P   qp=26 wait=0 bytes=116    cycles=2043174  nal=1 ok
frame  44: P   qp=25 wait=0 bytes=153    cycles=2043174  nal=1 ok
frame  45: P   qp=24 wait=0 bytes=107    cycles=2043176  nal=1 ok
frame  46: P   qp=24 wait=0 bytes=148    cycles=2043174  nal=1 ok
frame  47: P   qp=24 wait=0 bytes=101    cycles=2043174  nal=1 ok
frame  48: P   qp=24 wait=0 bytes=139    cycles=2043175  nal=1 ok
frame  49: P   qp=24 wait=0 bytes=102    cycles=2043174  nal=1 ok
frame  50: P   qp=24 wait=0 bytes=136    cycles=2043174  nal=1 ok
frame  51: P   qp=24 wait=0 bytes=102    cycles=2043173  nal=1 ok
frame  52: P   qp=24 wait=0 bytes=138    cycles=2043169  nal=1 ok
frame  53: P   qp=24 wait=0 bytes=101    cycles=2043175  nal=1 ok
frame  54: P   qp=24 wait=0 bytes=136    cycles=2043174  nal=1 ok
frame  55: P   qp=24 wait=0 bytes=115    cycles=2043192  nal=1 ok
frame  56: P   qp=24 wait=0 bytes=139    cycles=2043174  nal=1 ok
frame  57: P   qp=24 wait=0 bytes=102    cycles=2043175  nal=1 ok
frame  58: P   qp=24 wait=0 bytes=141    cycles=2043189  nal=1 ok
frame  59: P   qp=24 wait=0 bytes=102    cycles=2043173  nal=1 ok
frame  60: IDR qp=33 wait=0 bytes=718    cycles=2090948  nal=5 ok
frame  61: P   qp=36 wait=0 bytes=226    cycles=2043172  nal=1 ok
frame  62: P   qp=35 wait=0 bytes=649    cycles=2043171  nal=1 ok
frame  63: P   qp=34 wait=0 bytes=591    cycles=2043171  nal=1 ok
frame  64: P   qp=33 wait=0 bytes=709    cycles=2043172  nal=1 ok
frame  65: P   qp=32 wait=0 bytes=691    cycles=2043172  nal=1 ok
frame  66: P   qp=31 wait=0 bytes=756    cycles=2043171  nal=1 ok
frame  67: P   qp=30 wait=0 bytes=99     cycles=2043172  nal=1 ok
frame  68: P   qp=29 wait=0 bytes=367    cycles=2043239  nal=1 ok
frame  69: P   qp=28 wait=0 bytes=122    cycles=2043171  nal=1 ok
frame  70: P   qp=27 wait=0 bytes=466    cycles=2043191  nal=1 ok
frame  71: P   qp=26 wait=0 bytes=157    cycles=2043172  nal=1 ok
frame  72: P   qp=25 wait=0 bytes=156    cycles=2043171  nal=1 ok
frame  73: P   qp=24 wait=0 bytes=112    cycles=2043196  nal=1 ok
frame  74: P   qp=23 wait=0 bytes=150    cycles=2043171  nal=1 ok
frame  75: P   qp=22 wait=0 bytes=113    cycles=2043171  nal=1 ok
frame  76: P   qp=22 wait=0 bytes=150    cycles=2043172  nal=1 ok
frame  77: P   qp=22 wait=0 bytes=103    cycles=2043172  nal=1 ok
frame  78: P   qp=22 wait=0 bytes=139    cycles=2043171  nal=1 ok
frame  79: P   qp=22 wait=0 bytes=104    cycles=2043171  nal=1 ok
frame  80: P   qp=22 wait=0 bytes=135    cycles=2043205  nal=1 ok
frame  81: P   qp=22 wait=0 bytes=103    cycles=2043172  nal=1 ok
frame  82: P   qp=22 wait=0 bytes=139    cycles=2043172  nal=1 ok
frame  83: P   qp=22 wait=0 bytes=104    cycles=2043171  nal=1 ok
frame  84: P   qp=22 wait=0 bytes=137    cycles=2043172  nal=1 ok
frame  85: P   qp=22 wait=0 bytes=113    cycles=2043172  nal=1 ok
frame  86: P   qp=22 wait=0 bytes=143    cycles=2043193  nal=1 ok
frame  87: P   qp=22 wait=0 bytes=104    cycles=2043171  nal=1 ok
frame  88: P   qp=22 wait=0 bytes=143    cycles=2043196  nal=1 ok
frame  89: P   qp=22 wait=0 bytes=103    cycles=2043172  nal=1 ok
frame  90: IDR qp=31 wait=0 bytes=732    cycles=2090886  nal=5 ok
frame  91: P   qp=34 wait=0 bytes=110    cycles=2043171  nal=1 ok
frame  92: P   qp=33 wait=0 bytes=128    cycles=2043191  nal=1 ok
frame  93: P   qp=32 wait=0 bytes=127    cycles=2043171  nal=1 ok
frame  94: P   qp=31 wait=0 bytes=162    cycles=2043214  nal=1 ok
frame  95: P   qp=30 wait=0 bytes=106    cycles=2043214  nal=1 ok
frame  96: P   qp=29 wait=0 bytes=158    cycles=2043192  nal=1 ok
frame  97: P   qp=28 wait=0 bytes=103    cycles=2043190  nal=1 ok
frame  98: P   qp=27 wait=0 bytes=159    cycles=2043215  nal=1 ok
frame  99: P   qp=26 wait=0 bytes=105    cycles=2043172  nal=1 ok
frame 100: P   qp=25 wait=0 bytes=138    cycles=2043173  nal=1 ok
frame 101: P   qp=24 wait=0 bytes=108    cycles=2043174  nal=1 ok
frame 102: P   qp=23 wait=0 bytes=151    cycles=2043174  nal=1 ok
frame 103: P   qp=22 wait=0 bytes=134    cycles=2043174  nal=1 ok
frame 104: P   qp=21 wait=0 bytes=186    cycles=2043174  nal=1 ok
frame 105: P   qp=20 wait=0 bytes=144    cycles=2043173  nal=1 ok
frame 106: P   qp=20 wait=0 bytes=133    cycles=2043174  nal=1 ok
frame 107: P   qp=20 wait=0 bytes=126    cycles=2043173  nal=1 ok
frame 108: P   qp=20 wait=0 bytes=149    cycles=2043173  nal=1 ok
frame 109: P   qp=20 wait=0 bytes=129    cycles=2043215  nal=1 ok
frame 110: P   qp=20 wait=0 bytes=157    cycles=2043173  nal=1 ok
frame 111: P   qp=20 wait=0 bytes=147    cycles=2043173  nal=1 ok
frame 112: P   qp=20 wait=0 bytes=157    cycles=2043174  nal=1 ok
frame 113: P   qp=20 wait=0 bytes=133    cycles=2043222  nal=1 ok
frame 114: P   qp=20 wait=0 bytes=185    cycles=2043174  nal=1 ok
frame 115: P   qp=20 wait=0 bytes=110    cycles=2043173  nal=1 ok
frame 116: P   qp=20 wait=0 bytes=141    cycles=2043174  nal=1 ok
frame 117: P   qp=20 wait=0 bytes=103    cycles=2043193  nal=1 ok
frame 118: P   qp=20 wait=0 bytes=141    cycles=2043174  nal=1 ok
frame 119: P   qp=20 wait=0 bytes=102    cycles=2043174  nal=1 ok
frame 120: IDR qp=29 wait=0 bytes=722    cycles=2091258  nal=5 ok
frame 121: P   qp=32 wait=0 bytes=99     cycles=2043172  nal=1 ok
frame 122: P   qp=31 wait=0 bytes=135    cycles=2043172  nal=1 ok
frame 123: P   qp=30 wait=0 bytes=163    cycles=2043172  nal=1 ok
frame 124: P   qp=29 wait=0 bytes=95     cycles=2043172  nal=1 ok
frame 125: P   qp=28 wait=0 bytes=116    cycles=2043171  nal=1 ok
frame 126: P   qp=27 wait=0 bytes=105    cycles=2043173  nal=1 ok
frame 127: P   qp=26 wait=0 bytes=129    cycles=2043186  nal=1 ok
frame 128: P   qp=25 wait=0 bytes=101    cycles=2043192  nal=1 ok
frame 129: P   qp=24 wait=0 bytes=178    cycles=2043192  nal=1 ok
frame 130: P   qp=23 wait=0 bytes=130    cycles=2043172  nal=1 ok
frame 131: P   qp=22 wait=0 bytes=115    cycles=2043172  nal=1 ok
frame 132: P   qp=21 wait=0 bytes=107    cycles=2043172  nal=1 ok
frame 133: P   qp=20 wait=0 bytes=112    cycles=2043171  nal=1 ok
frame 134: P   qp=19 wait=0 bytes=107    cycles=2043171  nal=1 ok
frame 135: P   qp=18 wait=0 bytes=121    cycles=2043195  nal=1 ok
frame 136: P   qp=18 wait=0 bytes=110    cycles=2043171  nal=1 ok
frame 137: P   qp=18 wait=0 bytes=114    cycles=2043172  nal=1 ok
frame 138: P   qp=18 wait=0 bytes=124    cycles=2043171  nal=1 ok
frame 139: P   qp=18 wait=0 bytes=131    cycles=2043171  nal=1 ok
frame 140: P   qp=18 wait=0 bytes=105    cycles=2043171  nal=1 ok
frame 141: P   qp=18 wait=0 bytes=120    cycles=2043171  nal=1 ok
frame 142: P   qp=18 wait=0 bytes=109    cycles=2043172  nal=1 ok
frame 143: P   qp=18 wait=0 bytes=121    cycles=2043194  nal=1 ok
frame 144: P   qp=18 wait=0 bytes=122    cycles=2043172  nal=1 ok
frame 145: P   qp=18 wait=0 bytes=127    cycles=2043195  nal=1 ok
frame 146: P   qp=18 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame 147: P   qp=18 wait=0 bytes=119    cycles=2043172  nal=1 ok
frame 148: P   qp=18 wait=0 bytes=105    cycles=2043190  nal=1 ok
frame 149: P   qp=18 wait=0 bytes=119    cycles=2043166  nal=1 ok
frame 150: IDR qp=27 wait=0 bytes=725    cycles=2091259  nal=5 ok
frame 151: P   qp=30 wait=0 bytes=108    cycles=2043172  nal=1 ok
frame 152: P   qp=29 wait=0 bytes=101    cycles=2043172  nal=1 ok
frame 153: P   qp=28 wait=0 bytes=135    cycles=2043171  nal=1 ok
frame 154: P   qp=27 wait=0 bytes=105    cycles=2043196  nal=1 ok
frame 155: P   qp=26 wait=0 bytes=111    cycles=2043172  nal=1 ok
frame 156: P   qp=25 wait=0 bytes=115    cycles=2043172  nal=1 ok
frame 157: P   qp=24 wait=0 bytes=127    cycles=2043171  nal=1 ok
frame 158: P   qp=23 wait=0 bytes=116    cycles=2043172  nal=1 ok
frame 159: P   qp=22 wait=0 bytes=151    cycles=2043172  nal=1 ok
frame 160: P   qp=21 wait=0 bytes=116    cycles=2043171  nal=1 ok
