VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame   0: IDR qp=32 wait=0 bytes=730    cycles=2091235  nal=5 ok
frame   1: P   qp=32 wait=0 bytes=273    cycles=2042957  nal=1 ok
frame   2: P   qp=32 wait=0 bytes=155    cycles=2043142  nal=1 ok
frame   3: P   qp=32 wait=0 bytes=134    cycles=2043174  nal=1 ok
frame   4: P   qp=32 wait=0 bytes=159    cycles=2043141  nal=1 ok
frame   5: P   qp=32 wait=0 bytes=130    cycles=2043141  nal=1 ok
frame   6: P   qp=32 wait=0 bytes=161    cycles=2043141  nal=1 ok
frame   7: P   qp=32 wait=0 bytes=129    cycles=2043140  nal=1 ok
frame   8: P   qp=32 wait=0 bytes=150    cycles=2043140  nal=1 ok
frame   9: P   qp=32 wait=0 bytes=146    cycles=2043140  nal=1 ok
frame  10: P   qp=32 wait=0 bytes=166    cycles=2043141  nal=1 ok
frame  11: P   qp=32 wait=0 bytes=124    cycles=2043141  nal=1 ok
frame  12: P   qp=32 wait=0 bytes=147    cycles=2043140  nal=1 ok
frame  13: P   qp=32 wait=0 bytes=125    cycles=2043158  nal=1 ok
frame  14: P   qp=32 wait=0 bytes=162    cycles=2043140  nal=1 ok
frame  15: P   qp=32 wait=0 bytes=124    cycles=2043140  nal=1 ok
frame  16: P   qp=32 wait=0 bytes=160    cycles=2043141  nal=1 ok
frame  17: P   qp=32 wait=0 bytes=139    cycles=2043141  nal=1 ok
frame  18: P   qp=32 wait=0 bytes=159    cycles=2043140  nal=1 ok
frame  19: P   qp=32 wait=0 bytes=129    cycles=2043146  nal=1 ok
frame  20: P   qp=32 wait=0 bytes=165    cycles=2043141  nal=1 ok
frame  21: P   qp=32 wait=0 bytes=129    cycles=2043140  nal=1 ok
frame  22: P   qp=32 wait=0 bytes=164    cycles=2043156  nal=1 ok
frame  23: P   qp=32 wait=0 bytes=129    cycles=2043141  nal=1 ok
frame  24: P   qp=32 wait=0 bytes=165    cycles=2043141  nal=1 ok
frame  25: P   qp=32 wait=0 bytes=144    cycles=2043164  nal=1 ok
frame  26: P   qp=32 wait=0 bytes=168    cycles=2043140  nal=1 ok
frame  27: P   qp=32 wait=0 bytes=134    cycles=2043140  nal=1 ok
frame  28: P   qp=32 wait=0 bytes=156    cycles=2043160  nal=1 ok
frame  29: P   qp=32 wait=0 bytes=136    cycles=2043140  nal=1 ok
frame  30: IDR qp=32 wait=0 bytes=746    cycles=2091267  nal=5 ok
frame  31: P   qp=32 wait=0 bytes=145    cycles=2043174  nal=1 ok
frame  32: P   qp=32 wait=0 bytes=148    cycles=2043163  nal=1 ok
frame  33: P   qp=32 wait=0 bytes=128    cycles=2043141  nal=1 ok
frame  34: P   qp=32 wait=0 bytes=165    cycles=2043141  nal=1 ok
frame  35: P   qp=32 wait=0 bytes=128    cycles=2043141  nal=1 ok
frame  36: P   qp=32 wait=0 bytes=164    cycles=2043141  nal=1 ok
frame  37: P   qp=32 wait=0 bytes=127    cycles=2043141  nal=1 ok
frame  38: P   qp=32 wait=0 bytes=194    cycles=2043141  nal=1 ok
frame  39: P   qp=32 wait=0 bytes=147    cycles=2043140  nal=1 ok
frame  40: P   qp=32 wait=0 bytes=172    cycles=2043141  nal=1 ok
frame  41: P   qp=32 wait=0 bytes=127    cycles=2043140  nal=1 ok
frame  42: P   qp=32 wait=0 bytes=163    cycles=2043155  nal=1 ok
frame  43: P   qp=32 wait=0 bytes=128    cycles=2043141  nal=1 ok
frame  44: P   qp=32 wait=0 bytes=165    cycles=2043140  nal=1 ok
frame  45: P   qp=32 wait=0 bytes=127    cycles=2043140  nal=1 ok
frame  46: P   qp=32 wait=0 bytes=161    cycles=2043141  nal=1 ok
frame  47: P   qp=32 wait=0 bytes=133    cycles=2043140  nal=1 ok
frame  48: P   qp=32 wait=0 bytes=152    cycles=2043141  nal=1 ok
frame  49: P   qp=32 wait=0 bytes=140    cycles=2043140  nal=1 ok
frame  50: P   qp=32 wait=0 bytes=168    cycles=2043152  nal=1 ok
frame  51: P   qp=32 wait=0 bytes=132    cycles=2043132  nal=1 ok
frame  52: P   qp=32 wait=0 bytes=167    cycles=2043140  nal=1 ok
frame  53: P   qp=32 wait=0 bytes=131    cycles=2043141  nal=1 ok
frame  54: P   qp=32 wait=0 bytes=168    cycles=2043141  nal=1 ok
frame  55: P   qp=32 wait=0 bytes=148    cycles=2043164  nal=1 ok
frame  56: P   qp=32 wait=0 bytes=171    cycles=2043141  nal=1 ok
frame  57: P   qp=32 wait=0 bytes=141    cycles=2043141  nal=1 ok
frame  58: P   qp=32 wait=0 bytes=164    cycles=2043144  nal=1 ok
frame  59: P   qp=32 wait=0 bytes=140    cycles=2043140  nal=1 ok

RESULT: PASS -- 60/60 frames blob-free (10230 stream bytes, written; avg P = 150 bytes)
