RC: vbr 8000 kbps @ 60 fps gop 30, seed QP 32
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame   0: IDR qp=32 wait=0 bytes=714    cycles=2091072  nal=5 ok
frame   1: P   qp=32 wait=0 bytes=744    cycles=2043174  nal=1 ok
frame   2: P   qp=31 wait=0 bytes=135    cycles=2043172  nal=1 ok
frame   3: P   qp=30 wait=0 bytes=99     cycles=2043172  nal=1 ok
frame   4: P   qp=29 wait=0 bytes=150    cycles=2043173  nal=1 ok
frame   5: P   qp=28 wait=0 bytes=100    cycles=2043172  nal=1 ok
frame   6: P   qp=27 wait=0 bytes=774    cycles=2043171  nal=1 ok
frame   7: P   qp=26 wait=0 bytes=207    cycles=2043171  nal=1 ok
frame   8: P   qp=25 wait=0 bytes=183    cycles=2043171  nal=1 ok
frame   9: P   qp=24 wait=0 bytes=121    cycles=2043171  nal=1 ok
frame  10: P   qp=23 wait=0 bytes=163    cycles=2043172  nal=1 ok
frame  11: P   qp=22 wait=0 bytes=105    cycles=2043171  nal=1 ok
frame  12: P   qp=21 wait=0 bytes=144    cycles=2043172  nal=1 ok
frame  13: P   qp=20 wait=0 bytes=201    cycles=2043171  nal=1 ok
frame  14: P   qp=19 wait=0 bytes=144    cycles=2043172  nal=1 ok
frame  15: P   qp=18 wait=0 bytes=104    cycles=2043172  nal=1 ok
frame  16: P   qp=17 wait=0 bytes=181    cycles=2043171  nal=1 ok
frame  17: P   qp=16 wait=0 bytes=137    cycles=2043187  nal=1 ok
frame  18: P   qp=16 wait=0 bytes=153    cycles=2043171  nal=1 ok
frame  19: P   qp=16 wait=0 bytes=122    cycles=2043202  nal=1 ok
frame  20: P   qp=16 wait=0 bytes=153    cycles=2043172  nal=1 ok
frame  21: P   qp=16 wait=0 bytes=122    cycles=2043172  nal=1 ok
frame  22: P   qp=16 wait=0 bytes=151    cycles=2043191  nal=1 ok
frame  23: P   qp=16 wait=0 bytes=123    cycles=2043171  nal=1 ok
frame  24: P   qp=16 wait=0 bytes=152    cycles=2043171  nal=1 ok
frame  25: P   qp=16 wait=0 bytes=134    cycles=2043172  nal=1 ok
frame  26: P   qp=16 wait=0 bytes=155    cycles=2043172  nal=1 ok
frame  27: P   qp=16 wait=0 bytes=122    cycles=2043172  nal=1 ok
frame  28: P   qp=16 wait=0 bytes=154    cycles=2043192  nal=1 ok
frame  29: P   qp=16 wait=0 bytes=121    cycles=2043187  nal=1 ok
frame  30: IDR qp=17 wait=0 bytes=870    cycles=2105580  nal=5 ok
frame  31: P   qp=17 wait=0 bytes=112    cycles=2043171  nal=1 ok
frame  32: P   qp=16 wait=0 bytes=146    cycles=2043195  nal=1 ok
