CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame   0: IDR qp=32 wait=0 bytes=748    cycles=2081474  nal=19 ok
frame   1: P   qp=35 wait=0 bytes=269    cycles=2087634  nal=1 ok
frame   2: P   qp=33 wait=0 bytes=337    cycles=2087935  nal=1 ok
frame   3: P   qp=32 wait=0 bytes=303    cycles=2087432  nal=1 ok
frame   4: P   qp=31 wait=0 bytes=383    cycles=2087815  nal=1 ok
frame   5: P   qp=30 wait=0 bytes=288    cycles=2087049  nal=1 ok
frame   6: P   qp=29 wait=0 bytes=377    cycles=2087758  nal=1 ok
frame   7: P   qp=28 wait=0 bytes=382    cycles=2085454  nal=1 ok
frame   8: P   qp=27 wait=0 bytes=430    cycles=2083880  nal=1 ok
frame   9: P   qp=26 wait=0 bytes=334    cycles=2086457  nal=1 ok
frame  10: P   qp=25 wait=0 bytes=320    cycles=2086380  nal=1 ok
frame  11: P   qp=24 wait=0 bytes=356    cycles=2087107  nal=1 ok
frame  12: P   qp=23 wait=0 bytes=233    cycles=2086439  nal=1 ok
frame  13: P   qp=22 wait=0 bytes=198    cycles=2087041  nal=1 ok
frame  14: P   qp=21 wait=0 bytes=178    cycles=2085545  nal=1 ok
frame  15: P   qp=21 wait=0 bytes=103    cycles=2085502  nal=1 ok
frame  16: P   qp=21 wait=0 bytes=103    cycles=2085641  nal=1 ok
frame  17: P   qp=21 wait=0 bytes=82     cycles=2085653  nal=1 ok
frame  18: P   qp=21 wait=0 bytes=107    cycles=2085639  nal=1 ok
frame  19: P   qp=21 wait=0 bytes=82     cycles=2085647  nal=1 ok
frame  20: P   qp=21 wait=0 bytes=110    cycles=2085644  nal=1 ok
frame  21: P   qp=21 wait=0 bytes=84     cycles=2085692  nal=1 ok
frame  22: P   qp=21 wait=0 bytes=97     cycles=2085640  nal=1 ok
frame  23: P   qp=21 wait=0 bytes=81     cycles=2085654  nal=1 ok
frame  24: P   qp=21 wait=0 bytes=137    cycles=2085506  nal=1 ok
frame  25: P   qp=21 wait=0 bytes=104    cycles=2085487  nal=1 ok
frame  26: P   qp=21 wait=0 bytes=113    cycles=2086309  nal=1 ok
frame  27: P   qp=21 wait=0 bytes=99     cycles=2085530  nal=1 ok
frame  28: P   qp=21 wait=0 bytes=128    cycles=2084891  nal=1 ok
frame  29: P   qp=21 wait=0 bytes=99     cycles=2085593  nal=1 ok
frame  30: IDR qp=30 wait=0 bytes=834    cycles=2078157  nal=19 ok
frame  31: P   qp=33 wait=0 bytes=288    cycles=2086777  nal=1 ok
frame  32: P   qp=32 wait=0 bytes=372    cycles=2087540  nal=1 ok
frame  33: P   qp=31 wait=0 bytes=315    cycles=2087433  nal=1 ok
frame  34: P   qp=30 wait=0 bytes=374    cycles=2087503  nal=1 ok
frame  35: P   qp=29 wait=0 bytes=227    cycles=2086848  nal=1 ok
frame  36: P   qp=28 wait=0 bytes=273    cycles=2086069  nal=1 ok
frame  37: P   qp=27 wait=0 bytes=332    cycles=2086431  nal=1 ok
frame  38: P   qp=26 wait=0 bytes=335    cycles=2085932  nal=1 ok
frame  39: P   qp=25 wait=0 bytes=257    cycles=2087306  nal=1 ok
frame  40: P   qp=24 wait=0 bytes=244    cycles=2088032  nal=1 ok
frame  41: P   qp=23 wait=0 bytes=221    cycles=2087643  nal=1 ok
frame  42: P   qp=22 wait=0 bytes=162    cycles=2085729  nal=1 ok
frame  43: P   qp=21 wait=0 bytes=171    cycles=2085181  nal=1 ok
frame  44: P   qp=20 wait=0 bytes=162    cycles=2085466  nal=1 ok
frame  45: P   qp=19 wait=0 bytes=216    cycles=2082178  nal=1 ok
frame  46: P   qp=19 wait=0 bytes=126    cycles=2085390  nal=1 ok
frame  47: P   qp=19 wait=0 bytes=108    cycles=2085510  nal=1 ok
frame  48: P   qp=19 wait=0 bytes=126    cycles=2085505  nal=1 ok
frame  49: P   qp=19 wait=0 bytes=107    cycles=2085459  nal=1 ok
frame  50: P   qp=19 wait=0 bytes=122    cycles=2085480  nal=1 ok
frame  51: P   qp=19 wait=0 bytes=107    cycles=2085462  nal=1 ok
frame  52: P   qp=19 wait=0 bytes=133    cycles=2085485  nal=1 ok
frame  53: P   qp=19 wait=0 bytes=108    cycles=2085470  nal=1 ok
frame  54: P   qp=19 wait=0 bytes=157    cycles=2084932  nal=1 ok
frame  55: P   qp=19 wait=0 bytes=128    cycles=2085150  nal=1 ok
