CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32 (retarget at half-way)
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame   0: IDR qp=32 wait=0 bytes=748    cycles=2081526  nal=19 ok
frame   1: P   qp=35 wait=0 bytes=269    cycles=2087636  nal=1 ok
frame   2: P   qp=33 wait=0 bytes=337    cycles=2087902  nal=1 ok
frame   3: P   qp=32 wait=0 bytes=303    cycles=2087439  nal=1 ok
frame   4: P   qp=31 wait=0 bytes=383    cycles=2087804  nal=1 ok
frame   5: P   qp=30 wait=0 bytes=288    cycles=2087048  nal=1 ok
frame   6: P   qp=29 wait=0 bytes=377    cycles=2087778  nal=1 ok
frame   7: P   qp=28 wait=0 bytes=382    cycles=2085455  nal=1 ok
frame   8: P   qp=27 wait=0 bytes=430    cycles=2083883  nal=1 ok
frame   9: P   qp=26 wait=0 bytes=334    cycles=2086458  nal=1 ok
frame  10: P   qp=25 wait=0 bytes=320    cycles=2086405  nal=1 ok
frame  11: P   qp=24 wait=0 bytes=356    cycles=2087099  nal=1 ok
frame  12: P   qp=23 wait=0 bytes=233    cycles=2086470  nal=1 ok
frame  13: P   qp=22 wait=0 bytes=198    cycles=2087051  nal=1 ok
frame  14: P   qp=21 wait=0 bytes=178    cycles=2085592  nal=1 ok
frame  15: P   qp=21 wait=0 bytes=103    cycles=2085524  nal=1 ok
frame  16: P   qp=21 wait=0 bytes=103    cycles=2085632  nal=1 ok
frame  17: P   qp=21 wait=0 bytes=82     cycles=2085652  nal=1 ok
frame  18: P   qp=21 wait=0 bytes=107    cycles=2085638  nal=1 ok
frame  19: P   qp=21 wait=0 bytes=82     cycles=2085647  nal=1 ok
frame  20: P   qp=21 wait=0 bytes=110    cycles=2085662  nal=1 ok
frame  21: P   qp=21 wait=0 bytes=84     cycles=2085641  nal=1 ok
frame  22: P   qp=21 wait=0 bytes=97     cycles=2085638  nal=1 ok
frame  23: P   qp=21 wait=0 bytes=81     cycles=2085657  nal=1 ok
frame  24: P   qp=21 wait=0 bytes=137    cycles=2085500  nal=1 ok
frame  25: P   qp=21 wait=0 bytes=104    cycles=2085472  nal=1 ok
frame  26: P   qp=21 wait=0 bytes=113    cycles=2086328  nal=1 ok
frame  27: P   qp=21 wait=0 bytes=99     cycles=2085518  nal=1 ok
frame  28: P   qp=21 wait=0 bytes=128    cycles=2084912  nal=1 ok
frame  29: P   qp=21 wait=0 bytes=99     cycles=2085563  nal=1 ok
frame  30: IDR qp=30 wait=0 bytes=834    cycles=2078148  nal=19 ok
frame  31: P   qp=33 wait=0 bytes=288    cycles=2086770  nal=1 ok
frame  32: P   qp=32 wait=0 bytes=372    cycles=2087522  nal=1 ok
frame  33: P   qp=31 wait=0 bytes=315    cycles=2087414  nal=1 ok
frame  34: P   qp=30 wait=0 bytes=374    cycles=2087506  nal=1 ok
frame  35: P   qp=29 wait=0 bytes=227    cycles=2086833  nal=1 ok
frame  36: P   qp=28 wait=0 bytes=273    cycles=2086071  nal=1 ok
frame  37: P   qp=27 wait=0 bytes=332    cycles=2086420  nal=1 ok
frame  38: P   qp=26 wait=0 bytes=335    cycles=2085929  nal=1 ok
frame  39: P   qp=25 wait=0 bytes=257    cycles=2087326  nal=1 ok
frame  40: P   qp=24 wait=0 bytes=244    cycles=2088025  nal=1 ok
frame  41: P   qp=23 wait=0 bytes=221    cycles=2087606  nal=1 ok
frame  42: P   qp=22 wait=0 bytes=162    cycles=2085747  nal=1 ok
frame  43: P   qp=21 wait=0 bytes=171    cycles=2085156  nal=1 ok
frame  44: P   qp=20 wait=0 bytes=162    cycles=2085435  nal=1 ok
frame  45: P   qp=19 wait=0 bytes=216    cycles=2082132  nal=1 ok
frame  46: P   qp=19 wait=0 bytes=126    cycles=2085390  nal=1 ok
frame  47: P   qp=19 wait=0 bytes=108    cycles=2085461  nal=1 ok
frame  48: P   qp=19 wait=0 bytes=126    cycles=2085517  nal=1 ok
frame  49: P   qp=19 wait=0 bytes=107    cycles=2085475  nal=1 ok
frame  50: P   qp=19 wait=0 bytes=122    cycles=2085507  nal=1 ok
frame  51: P   qp=19 wait=0 bytes=107    cycles=2085463  nal=1 ok
frame  52: P   qp=19 wait=0 bytes=133    cycles=2085460  nal=1 ok
frame  53: P   qp=19 wait=0 bytes=108    cycles=2085478  nal=1 ok
frame  54: P   qp=19 wait=0 bytes=157    cycles=2084898  nal=1 ok
frame  55: P   qp=19 wait=0 bytes=128    cycles=2085139  nal=1 ok
frame  56: P   qp=19 wait=0 bytes=144    cycles=2085201  nal=1 ok
frame  57: P   qp=19 wait=0 bytes=122    cycles=2085329  nal=1 ok
frame  58: P   qp=19 wait=0 bytes=126    cycles=2085357  nal=1 ok
frame  59: P   qp=19 wait=0 bytes=121    cycles=2085237  nal=1 ok
frame  60: IDR qp=28 wait=0 bytes=761    cycles=2081280  nal=19 ok
frame  61: P   qp=31 wait=0 bytes=90     cycles=2085632  nal=1 ok
frame  62: P   qp=30 wait=0 bytes=143    cycles=2086344  nal=1 ok
frame  63: P   qp=29 wait=0 bytes=99     cycles=2085846  nal=1 ok
frame  64: P   qp=28 wait=0 bytes=118    cycles=2086034  nal=1 ok
frame  65: P   qp=27 wait=0 bytes=108    cycles=2085774  nal=1 ok
frame  66: P   qp=26 wait=0 bytes=122    cycles=2085925  nal=1 ok
frame  67: P   qp=25 wait=0 bytes=83     cycles=2085705  nal=1 ok
frame  68: P   qp=24 wait=0 bytes=138    cycles=2085675  nal=1 ok
frame  69: P   qp=23 wait=0 bytes=234    cycles=2088571  nal=1 ok
frame  70: P   qp=22 wait=0 bytes=146    cycles=2085155  nal=1 ok
