CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: vbr 2000 kbps @ 60 fps gop 30, seed QP 36
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame   0: IDR qp=36 wait=0 bytes=663    cycles=2080680  nal=19 ok
frame   1: P   qp=36 wait=0 bytes=160    cycles=2085990  nal=1 ok
frame   2: P   qp=35 wait=0 bytes=142    cycles=2086170  nal=1 ok
frame   3: P   qp=34 wait=0 bytes=255    cycles=2086748  nal=1 ok
frame   4: P   qp=33 wait=0 bytes=132    cycles=2086105  nal=1 ok
frame   5: P   qp=32 wait=0 bytes=270    cycles=2087592  nal=1 ok
frame   6: P   qp=31 wait=0 bytes=239    cycles=2086255  nal=1 ok
frame   7: P   qp=30 wait=0 bytes=311    cycles=2086982  nal=1 ok
frame   8: P   qp=29 wait=0 bytes=387    cycles=2084557  nal=1 ok
frame   9: P   qp=28 wait=0 bytes=244    cycles=2082784  nal=1 ok
frame  10: P   qp=27 wait=0 bytes=283    cycles=2085515  nal=1 ok
frame  11: P   qp=26 wait=0 bytes=361    cycles=2086775  nal=1 ok
frame  12: P   qp=25 wait=0 bytes=266    cycles=2085975  nal=1 ok
frame  13: P   qp=24 wait=0 bytes=200    cycles=2085730  nal=1 ok
frame  14: P   qp=23 wait=0 bytes=254    cycles=2085887  nal=1 ok
frame  15: P   qp=22 wait=0 bytes=147    cycles=2085742  nal=1 ok
frame  16: P   qp=21 wait=0 bytes=144    cycles=2085258  nal=1 ok
frame  17: P   qp=20 wait=0 bytes=176    cycles=2087982  nal=1 ok
frame  18: P   qp=19 wait=0 bytes=142    cycles=2085466  nal=1 ok
frame  19: P   qp=18 wait=0 bytes=129    cycles=2085167  nal=1 ok
frame  20: P   qp=17 wait=0 bytes=171    cycles=2081985  nal=1 ok
frame  21: P   qp=16 wait=0 bytes=147    cycles=2082127  nal=1 ok
frame  22: P   qp=16 wait=0 bytes=123    cycles=2079544  nal=1 ok
frame  23: P   qp=16 wait=0 bytes=100    cycles=2079602  nal=1 ok
frame  24: P   qp=16 wait=0 bytes=151    cycles=2079410  nal=1 ok
