# IDR marker 0x7381c800 vs P marker 0x7381c800
swreg5    IDR=0x3c044302  P=0x3c044300
swreg7    IDR=0x80022000  P=0x80021d00
swreg8    IDR=0x749ce028  P=0x749ce000
swreg9    IDR=0x00002f93  P=0x00001950
swreg10   IDR=0x7541f008  P=0x7541f000
swreg11   IDR=0x00000000  P=0x00000005
swreg12   IDR=0x73c45000  P=0x7442f000
swreg13   IDR=0x74039800  P=0x74823800
swreg14   IDR=0x74233c00  P=0x74a1dc00
swreg15   IDR=0x74de5000  P=0x75003000
swreg16   IDR=0x75221000  P=0x75320000
swreg17   IDR=0x00000030  P=0xffd0007c
swreg18   IDR=0x00000000  P=0x74de5000
swreg19   IDR=0x00000000  P=0x75221000
swreg37   IDR=0x00f00510  P=0x003c0140
swreg60   IDR=0x75429000  P=0x7542f000
swreg62   IDR=0x7542a000  P=0x75430000
swreg64   IDR=0x00000000  P=0x75429000
swreg66   IDR=0x00000000  P=0x7542a000
swreg72   IDR=0x74fe3000  P=0x75201000
swreg74   IDR=0x00000000  P=0x74fe3000
swreg79   IDR=0x00002f93  P=0x00001950
swreg82   IDR=0x00201211  P=0x001f2d04
swreg105  IDR=0x001adb00  P=0x0003bf20
swreg106  IDR=0x001adb00  P=0x00011fbc
swreg107  IDR=0x001adb00  P=0x00077e40
swreg111  IDR=0x00000000  P=0x0062c000
swreg112  IDR=0x00000000  P=0x066c0000
swreg113  IDR=0x00000000  P=0x0000a5d1
swreg114  IDR=0x75435000  P=0x75436000
swreg170  IDR=0x00332700  P=0x00199a00
swreg171  IDR=0x00393700  P=0x00287a00
swreg173  IDR=0x00000662  P=0x0000066a
swreg183  IDR=0x03bc5a00  P=0x025dba00
swreg191  IDR=0x14000000  P=0x04000000
swreg192  IDR=0x00000000  P=0x00000005
swreg193  IDR=0x0010011d  P=0x00200119
swreg197  IDR=0x00000000  P=0xffc00000
swreg198  IDR=0x00000000  P=0x00000e00
swreg215  IDR=0x0003fc00  P=0x00054a40
swreg216  IDR=0x0003fc00  P=0x00054a40
swreg217  IDR=0x00007f80  P=0x0000f80f
swreg218  IDR=0x00007f80  P=0x0000f80f
swreg219  IDR=0x00008ac2  P=0x00008f42
swreg220  IDR=0x00008ac2  P=0x00008f42
swreg221  IDR=0x000018b5  P=0x00001901
swreg222  IDR=0x000018b5  P=0x00001901
swreg223  IDR=0x000018b5  P=0x00001901
swreg243  IDR=0x031c0000  P=0x01349000
swreg244  IDR=0x01521000  P=0x005f2400
swreg247  IDR=0x001a5c40  P=0x0007be82
swreg248  IDR=0x03bd6800  P=0x02649400
swreg318  IDR=0x004047d8  P=0x00404800
