# register image marker#1 @0x7381e800  swreg0..400
phys=0x7381e800  +0x000  swreg0    0x90101010
phys=0x7381e804  +0x004  swreg1    0x00000805
phys=0x7381e808  +0x008  swreg2    0x000000f0
phys=0x7381e80c  +0x00c  swreg3    0xff000000
phys=0x7381e810  +0x010  swreg4    0x4090004a
phys=0x7381e814  +0x014  swreg5    0x3c044300
phys=0x7381e818  +0x018  swreg6    0x00000003
phys=0x7381e81c  +0x01c  swreg7    0x80021c00
phys=0x7381e820  +0x020  swreg8    0x749ce000
phys=0x7381e824  +0x024  swreg9    0x000017b0
phys=0x7381e828  +0x028  swreg10   0x7541f000
phys=0x7381e82c  +0x02c  swreg11   0x00000006
phys=0x7381e830  +0x030  swreg12   0x73c45000
phys=0x7381e834  +0x034  swreg13   0x74039800
phys=0x7381e838  +0x038  swreg14   0x74233c00
phys=0x7381e83c  +0x03c  swreg15   0x74de5000
phys=0x7381e840  +0x040  swreg16   0x75221000
phys=0x7381e844  +0x044  swreg17   0xffd0007c
phys=0x7381e848  +0x048  swreg18   0x75003000
phys=0x7381e84c  +0x04c  swreg19   0x75320000
phys=0x7381e850  +0x050  swreg20   0x00000000
phys=0x7381e854  +0x054  swreg21   0x00000000
phys=0x7381e858  +0x058  swreg22   0x0000000c
phys=0x7381e85c  +0x05c  swreg23   0xffffffff
phys=0x7381e860  +0x060  swreg24   0xffffffff
phys=0x7381e864  +0x064  swreg25   0xffffffff
phys=0x7381e868  +0x068  swreg26   0x54551760
phys=0x7381e86c  +0x06c  swreg27   0x76306300
phys=0x7381e870  +0x070  swreg28   0x00000000
phys=0x7381e874  +0x074  swreg29   0x00000000
phys=0x7381e878  +0x078  swreg30   0x00000000
phys=0x7381e87c  +0x07c  swreg31   0x00000000
phys=0x7381e880  +0x080  swreg32   0x00000000
phys=0x7381e884  +0x084  swreg33   0x00000000
phys=0x7381e888  +0x088  swreg34   0x00000000
phys=0x7381e88c  +0x08c  swreg35   0x00018e1a
phys=0x7381e890  +0x090  swreg36   0x1c995f3c
phys=0x7381e894  +0x094  swreg37   0x00300100
phys=0x7381e898  +0x098  swreg38   0x2001e000
phys=0x7381e89c  +0x09c  swreg39   0x00000000
phys=0x7381e8a0  +0x0a0  swreg40   0x00000000
phys=0x7381e8a4  +0x0a4  swreg41   0x00000000
phys=0x7381e8a8  +0x0a8  swreg42   0x00000000
phys=0x7381e8ac  +0x0ac  swreg43   0x00000000
phys=0x7381e8b0  +0x0b0  swreg44   0x00000000
phys=0x7381e8b4  +0x0b4  swreg45   0x07f80200
phys=0x7381e8b8  +0x0b8  swreg46   0x74dd3000
phys=0x7381e8bc  +0x0bc  swreg47   0x00000000
phys=0x7381e8c0  +0x0c0  swreg48   0x00000000
phys=0x7381e8c4  +0x0c4  swreg49   0x00000000
phys=0x7381e8c8  +0x0c8  swreg50   0x00000000
phys=0x7381e8cc  +0x0cc  swreg51   0x00000000
phys=0x7381e8d0  +0x0d0  swreg52   0x00000000
phys=0x7381e8d4  +0x0d4  swreg53   0x00000000
phys=0x7381e8d8  +0x0d8  swreg54   0x00000000
phys=0x7381e8dc  +0x0dc  swreg55   0x00000000
phys=0x7381e8e0  +0x0e0  swreg56   0x00000000
phys=0x7381e8e4  +0x0e4  swreg57   0x00000000
phys=0x7381e8e8  +0x0e8  swreg58   0x00000000
phys=0x7381e8ec  +0x0ec  swreg59   0x00000000
phys=0x7381e8f0  +0x0f0  swreg60   0x75429000
phys=0x7381e8f4  +0x0f4  swreg61   0x00000000
phys=0x7381e8f8  +0x0f8  swreg62   0x7542a000
phys=0x7381e8fc  +0x0fc  swreg63   0x00000000
phys=0x7381e900  +0x100  swreg64   0x7542f000
phys=0x7381e904  +0x104  swreg65   0x00000000
phys=0x7381e908  +0x108  swreg66   0x75430000
phys=0x7381e90c  +0x10c  swreg67   0x00000000
phys=0x7381e910  +0x110  swreg68   0x00000000
phys=0x7381e914  +0x114  swreg69   0x00000000
phys=0x7381e918  +0x118  swreg70   0x00000000
phys=0x7381e91c  +0x11c  swreg71   0x00000000
phys=0x7381e920  +0x120  swreg72   0x74fe3000
phys=0x7381e924  +0x124  swreg73   0x00000000
phys=0x7381e928  +0x128  swreg74   0x75201000
phys=0x7381e92c  +0x12c  swreg75   0x00000000
phys=0x7381e930  +0x130  swreg76   0x00000000
phys=0x7381e934  +0x134  swreg77   0x00000000
phys=0x7381e938  +0x138  swreg78   0x00001fe0
phys=0x7381e93c  +0x13c  swreg79   0x000017b0
phys=0x7381e940  +0x140  swreg80   0x88da4280
phys=0x7381e944  +0x144  swreg81   0x10000000
phys=0x7381e948  +0x148  swreg82   0x001f2c79
phys=0x7381e94c  +0x14c  swreg83   0x00000000
phys=0x7381e950  +0x150  swreg84   0x00000000
phys=0x7381e954  +0x154  swreg85   0x00000000
phys=0x7381e958  +0x158  swreg86   0x00000000
phys=0x7381e95c  +0x15c  swreg87   0x00000000
phys=0x7381e960  +0x160  swreg88   0x00000000
phys=0x7381e964  +0x164  swreg89   0x00000000
phys=0x7381e968  +0x168  swreg90   0x00000000
phys=0x7381e96c  +0x16c  swreg91   0x00000000
phys=0x7381e970  +0x170  swreg92   0x00000000
phys=0x7381e974  +0x174  swreg93   0x00000000
phys=0x7381e978  +0x178  swreg94   0x00000000
phys=0x7381e97c  +0x17c  swreg95   0x00000000
phys=0x7381e980  +0x180  swreg96   0x00000000
phys=0x7381e984  +0x184  swreg97   0x00000000
phys=0x7381e988  +0x188  swreg98   0x00000000
phys=0x7381e98c  +0x18c  swreg99   0x00000000
phys=0x7381e990  +0x190  swreg100  0x00000000
phys=0x7381e994  +0x194  swreg101  0x00000000
phys=0x7381e998  +0x198  swreg102  0x00000000
phys=0x7381e99c  +0x19c  swreg103  0x00000000
phys=0x7381e9a0  +0x1a0  swreg104  0x00000000
phys=0x7381e9a4  +0x1a4  swreg105  0x0003e006
phys=0x7381e9a8  +0x1a8  swreg106  0x0001299b
phys=0x7381e9ac  +0x1ac  swreg107  0x0007c00c
phys=0x7381e9b0  +0x1b0  swreg108  0x00000000
phys=0x7381e9b4  +0x1b4  swreg109  0x00000000
phys=0x7381e9b8  +0x1b8  swreg110  0x00000000
phys=0x7381e9bc  +0x1bc  swreg111  0x005f8000
phys=0x7381e9c0  +0x1c0  swreg112  0x065c8000
phys=0x7381e9c4  +0x1c4  swreg113  0x00009e86
phys=0x7381e9c8  +0x1c8  swreg114  0x75435000
phys=0x7381e9cc  +0x1cc  swreg115  0x00000000
phys=0x7381e9d0  +0x1d0  swreg116  0x00000000
phys=0x7381e9d4  +0x1d4  swreg117  0x00000000
phys=0x7381e9d8  +0x1d8  swreg118  0x00000000
phys=0x7381e9dc  +0x1dc  swreg119  0x00000000
phys=0x7381e9e0  +0x1e0  swreg120  0x00000000
phys=0x7381e9e4  +0x1e4  swreg121  0x00000000
phys=0x7381e9e8  +0x1e8  swreg122  0x00000000
phys=0x7381e9ec  +0x1ec  swreg123  0x00000000
phys=0x7381e9f0  +0x1f0  swreg124  0x00000000
phys=0x7381e9f4  +0x1f4  swreg125  0x00000000
phys=0x7381e9f8  +0x1f8  swreg126  0x00000000
phys=0x7381e9fc  +0x1fc  swreg127  0x00000000
phys=0x7381ea00  +0x200  swreg128  0x00000000
phys=0x7381ea04  +0x204  swreg129  0x00000000
phys=0x7381ea08  +0x208  swreg130  0x00000000
phys=0x7381ea0c  +0x20c  swreg131  0x00000000
phys=0x7381ea10  +0x210  swreg132  0x00000000
phys=0x7381ea14  +0x214  swreg133  0x00000000
phys=0x7381ea18  +0x218  swreg134  0x0a000080
