frame,type,bytes,slice_qp
0,I,9678,32
1,P,6181,35
2,P,14752,33
3,P,11610,32
4,P,17500,31
5,P,7165,30
6,P,17694,29
7,P,13651,28
8,P,22149,27
9,P,11877,26
10,P,20862,25
11,P,17135,24
12,P,23166,23
13,P,14004,22
14,P,25544,21
15,P,18038,21
16,P,23228,21
17,P,11930,21
18,P,22378,21
19,P,15241,21
20,P,22593,21
21,P,11045,21
22,P,22451,21
23,P,14726,21
24,P,22168,21
25,P,11933,21
26,P,20431,21
27,P,14612,21
28,P,22223,21
29,P,10396,21
30,I,12323,30
31,P,9446,33
32,P,15901,32
33,P,6524,31
34,P,17092,30
35,P,11675,29
36,P,19145,28
37,P,9406,27
38,P,20630,26
39,P,18894,25
40,P,23959,24
41,P,13869,23
42,P,25565,22
43,P,20533,21
44,P,26275,20
45,P,13855,19
46,P,25844,19
47,P,12574,19
48,P,22668,19
49,P,12978,19
50,P,25054,19
51,P,11841,19
52,P,21842,19
53,P,11858,19
54,P,25213,19
55,P,11631,19
56,P,22078,19
57,P,12395,19
58,P,25151,19
59,P,12220,19
60,I,12692,28
61,P,8932,31
62,P,16535,30
63,P,13644,29
64,P,18900,28
65,P,10079,27
66,P,19754,26
67,P,19032,25
68,P,23654,24
69,P,13436,23
70,P,22968,22
71,P,21975,21
72,P,25116,20
73,P,14628,19
74,P,23655,18
75,P,13682,17
76,P,22360,17
77,P,12364,17
78,P,23276,17
79,P,11960,17
80,P,22275,17
81,P,12719,17
82,P,22963,17
83,P,12569,17
84,P,21629,17
85,P,11796,17
86,P,23040,17
87,P,12035,17
88,P,22003,17
89,P,12343,17
