sw4    0x4090004a -> 0x21900054
sw5    0x3c044303 -> 0x3c043803
sw6    0x00000003 -> 0x0020000b
sw9    0x004047d8 -> 0x004047a4
sw36   0x1c995f3c -> 0x1c995f14
sw190  0x04000000 -> 0x00000000
sw191  0x14000000 -> 0x4c000000
sw193  0x0010011d -> 0x00100101
sw194  0x0010011c -> 0x00100100
sw202  0x00000000 -> 0x00020002
sw203  0x05000101 -> 0x00020002
sw204  0x00000000 -> 0x00020002
sw205  0x00000000 -> 0x000c0003
sw206  0x00000000 -> 0x0033000c
sw207  0x00000000 -> 0x00cc0033
sw208  0x78001ff0 -> 0x79e01ff0
sw245  0x20000888 -> 0x20002224
sw246  0x02225028 -> 0x08889010
sw277  0x84000000 -> 0x83000000
19 registers differ (excl.) address regs)
