sw4    0x4090004a -> 0x21900054
sw5    0x3c044301 -> 0x3c043801
sw6    0x00000003 -> 0x00200003
sw36   0x1c995f3c -> 0x1c995f14
sw37   0x00f00510 -> 0x01e40a20
sw105  0x0002209b -> 0x00022256
sw106  0x00020560 -> 0x00020704
sw107  0x00023bd5 -> 0x00023da7
sw125  0x09042020 -> 0x0cc02d70
sw126  0x07281980 -> 0x0a202410
sw127  0x05ac1440 -> 0x08081ca0
sw128  0x04801010 -> 0x066016b0
sw129  0x03940cc0 -> 0x05101210
sw130  0x02d80a20 -> 0x04040e50
sw131  0x02400810 -> 0x03300b60
sw132  0x01c80660 -> 0x02880900
sw170  0x00199a00 -> 0x00333300
sw171  0x00287a00 -> 0x00393e00
sw190  0x04000000 -> 0x00000000
sw192  0x00000001 -> 0x00000000
sw193  0x00200119 -> 0x00100101
sw194  0x0010011c -> 0x00100100
sw198  0x00000e00 -> 0x00000000
sw202  0x00000000 -> 0x00020002
sw203  0x05000101 -> 0x00020002
sw204  0x00000000 -> 0x00020002
sw205  0x00000000 -> 0x000c0003
sw206  0x00000000 -> 0x0033000c
sw207  0x00000000 -> 0x00cc0033
sw208  0x78001ff0 -> 0x79e01ff0
sw243  0x00aaa800 -> 0x00400800
sw244  0x00000000 -> 0x00000400
sw245  0x20000888 -> 0x20002224
sw246  0x02225028 -> 0x08889010
sw247  0x001acbc2 -> 0x00018942
sw277  0x84000000 -> 0x83000000
36 registers differ (excl.) address regs)
