# vendor AX_VENC 1920x1080 P frame register program (cmdbuf WREG decode)
# probe: vdrive.c tag=rc_avbr phase=P slot=2, 2026-09-05
swreg1    0x000009fd
swreg2    0x000000f0
swreg3    0xff000000
swreg4    0x21900054
swreg5    0x3c043801
swreg6    0x00200003
swreg7    0x80002000
swreg8    0x7388e000
swreg9    0x00404800
swreg10   0x742df000
swreg11   0x00000001
swreg12   0x742f6000
swreg13   0x746ea800
swreg14   0x748e4c00
swreg15   0x73ec3000
swreg16   0x741e0000
swreg17   0xffd0007c
swreg18   0x73ca5000
swreg19   0x740e1000
swreg20   0x00000000
swreg21   0x00000000
swreg22   0x0000000c
swreg23   0xffffffff
swreg24   0xffffffff
swreg25   0xffffffff
swreg26   0x54551760
swreg27   0x76312ce0
swreg28   0x00000000
swreg29   0x00000000
swreg30   0x00000000
swreg31   0x00000000
swreg32   0x00000000
swreg33   0x00000000
swreg34   0x00000000
swreg35   0x00018e1a
swreg36   0x1c995f14
swreg37   0x00b003a0
swreg38   0x2001e000
swreg39   0x4c85962b
swreg40   0x1d509090
swreg41   0xb6940000
swreg42   0x00000000
swreg43   0x00000000
swreg44   0x00000000
swreg45   0x00000200
swreg46   0x73c93000
swreg47   0x00000000
swreg48   0x00000000
swreg49   0x00000000
swreg50   0x00000000
swreg51   0x00000000
swreg52   0x00000000
swreg53   0x00000000
swreg54   0x00000000
swreg55   0x00000000
swreg56   0x00000000
swreg57   0x00000000
swreg58   0x00000000
swreg59   0x00000000
swreg60   0x742eb000
swreg61   0x00000000
swreg62   0x742ec000
swreg63   0x00000000
swreg64   0x742e5000
swreg65   0x00000000
swreg66   0x742e6000
swreg67   0x00000000
swreg68   0x00000000
swreg69   0x00000000
swreg70   0x00000000
swreg71   0x00000000
swreg72   0x740c1000
swreg73   0x00000000
swreg74   0x73ea3000
swreg75   0x00000000
swreg76   0x00000000
swreg77   0x00000000
swreg78   0x00000000
swreg79   0x00000000
swreg80   0x88da4280
swreg81   0x10000000
swreg82   0x00000000
swreg83   0x00000000
swreg84   0x00000000
swreg85   0x00000000
swreg86   0x00000000
swreg87   0x00000000
swreg88   0x00000000
swreg89   0x00000000
swreg90   0x00000000
swreg91   0x00000000
swreg92   0x00000000
swreg93   0x00000000
swreg94   0x00000000
swreg95   0x00000000
swreg96   0x00000000
swreg97   0x00000000
swreg98   0x00000000
swreg99   0x00000000
swreg100  0x00000000
swreg101  0x00000000
swreg102  0x00000000
swreg103  0x00000000
swreg104  0x00000000
swreg105  0x0001f513
swreg106  0x00000000
swreg107  0x000411aa
swreg108  0x00000000
swreg109  0x00000000
swreg110  0x00000000
swreg111  0x00000000
swreg112  0x00000000
swreg113  0x00000000
swreg114  0x00000000
swreg115  0x00000000
swreg116  0x00000000
swreg117  0x00000000
swreg118  0x00000000
swreg119  0x00000000
swreg120  0x00000000
swreg121  0x00000000
swreg122  0x00000000
swreg123  0x00000000
swreg124  0x00000000
swreg125  0x07a81b50
swreg126  0x061415b0
swreg127  0x04d41130
swreg128  0x03d40da0
swreg129  0x030c0ad0
swreg130  0x026808a0
swreg131  0x01ec06d0
swreg132  0x01840570
swreg133  0x00000000
swreg134  0x0a000080
swreg135  0x00000000
swreg136  0x2c000000
swreg137  0x00000000
swreg138  0x00000000
swreg139  0x00000000
swreg140  0x00000000
swreg141  0x00000000
swreg142  0x00000000
swreg143  0x00000000
swreg144  0x00000000
swreg145  0x00000000
swreg146  0x00000000
swreg147  0x00000000
swreg148  0x00000000
swreg149  0x00000000
swreg150  0x00000000
swreg151  0x00000000
swreg152  0x00000000
swreg153  0x00000000
swreg154  0x00000000
swreg155  0x00000000
swreg156  0x00000000
swreg157  0x00000000
swreg158  0x00000000
swreg159  0x00000000
swreg160  0x00000000
swreg161  0x00000000
swreg162  0x00000000
swreg163  0x00000000
swreg164  0x00000000
swreg165  0x00000000
swreg166  0x00000000
swreg167  0x00000000
swreg168  0x00000000
swreg169  0x00000000
swreg170  0x0024fe00
swreg171  0x0030a800
swreg172  0x0000014f
swreg173  0x0000066a
swreg174  0x00000000
swreg175  0x00000000
swreg176  0x00000000
swreg177  0x00000000
swreg178  0x00000000
swreg179  0x00000000
swreg180  0x00000000
swreg181  0x00000000
swreg182  0x00000139
swreg183  0x00000000
swreg184  0x00000000
swreg185  0x00000000
swreg186  0x00000000
swreg187  0x00000000
swreg188  0x00000000
swreg189  0x00000000
swreg190  0x00000000
swreg191  0x04000000
swreg192  0x00000000
swreg193  0x00100101
swreg194  0x00100100
swreg195  0x0000fff0
swreg196  0x00100000
swreg197  0xffc00000
swreg198  0x00000000
swreg199  0x00000000
swreg200  0x00000000
swreg201  0x05050505
swreg202  0x00020002
swreg203  0x00020002
swreg204  0x00020002
swreg205  0x000c0003
swreg206  0x0033000c
swreg207  0x00cc0033
swreg208  0x79e01ff0
swreg209  0xffffffe0
swreg210  0x00780ff8
swreg211  0x00000ff8
swreg212  0x01e00ff8
swreg213  0x01e03fe0
swreg214  0x48500800
swreg215  0x00000000
swreg216  0x00000000
swreg217  0x00000000
swreg218  0x00000000
swreg219  0x00000000
swreg220  0x00000000
swreg221  0x00000000
swreg222  0x00000000
swreg223  0x00000000
swreg224  0x00020080
swreg225  0x01014040
swreg226  0x00a19200
swreg227  0x00000000
swreg228  0x00000000
swreg229  0x00000000
swreg230  0x00000000
swreg231  0x00000000
swreg232  0x00000000
swreg233  0x00000000
swreg234  0x00000000
swreg235  0x00000000
swreg236  0x00002000
swreg237  0x01e00044
swreg238  0x00000000
swreg239  0x742e3000
swreg240  0x00000000
swreg241  0x742e4000
swreg242  0x00000000
swreg243  0x00400800
swreg244  0x00000400
swreg245  0x20002224
swreg246  0x08889010
swreg247  0x00018942
swreg248  0x00000000
swreg249  0x00fff7f8
swreg250  0x00000004
swreg251  0x00000004
swreg252  0xfffffffc
swreg253  0xfffffffc
swreg254  0xfffffffc
swreg255  0xfffffffc
swreg256  0xfffffffc
swreg257  0xfffffffc
swreg258  0xfffffffc
swreg259  0xfffffffc
swreg260  0x00000000
swreg261  0x07800400
swreg262  0x00000000
swreg263  0x00000000
swreg264  0x00000000
swreg265  0x00000000
swreg266  0x00000000
swreg267  0x00000000
swreg268  0x00000000
swreg269  0x00000000
swreg270  0x00000000
swreg271  0x00000000
swreg272  0xffffffff
swreg273  0x00000000
swreg274  0x00000000
swreg275  0x00000000
swreg276  0x00000000
swreg277  0x83000000
swreg278  0x00000000
swreg279  0x00000000
swreg280  0x00000000
swreg281  0x00000006
swreg282  0x00000000
swreg283  0x00000000
swreg284  0x00000000
swreg285  0x00000000
swreg286  0x00000000
swreg287  0x00000000
swreg288  0x00001000
swreg289  0x9090b694
swreg290  0x00000000
swreg291  0x00000000
swreg292  0x00000000
swreg293  0x00000000
swreg294  0x00000000
swreg295  0x00000000
swreg296  0x00000000
swreg297  0x00000000
swreg298  0x00000000
swreg299  0x00000000
swreg300  0x00000000
swreg301  0x00000000
swreg302  0x00000000
swreg303  0x00000000
swreg304  0x00000000
swreg305  0x00000000
swreg306  0x00000000
swreg307  0x10100808
swreg308  0x00000000
swreg309  0x00000000
swreg310  0x00000000
swreg311  0x00000000
swreg312  0x00000000
swreg313  0x00000000
swreg314  0x00000000
swreg315  0x00000000
swreg316  0x00000000
swreg317  0x00000000
swreg318  0x00000000
swreg319  0x00060460
swreg320  0x00000400
swreg321  0x00000000
swreg322  0x00000000
swreg323  0x00000000
swreg324  0x00000000
swreg325  0x00000000
swreg326  0x00000000
swreg327  0x00000000
swreg328  0x00000000
swreg329  0x00000000
swreg330  0x00000000
swreg331  0x00000000
swreg332  0x00000000
swreg333  0x00000000
swreg334  0x00000000
swreg335  0x00000000
swreg336  0x00000000
swreg337  0x00000000
swreg338  0x00000000
swreg339  0x00000000
swreg340  0x00000000
swreg341  0x00000000
swreg342  0x00000000
swreg343  0x00000000
swreg344  0x00000000
swreg345  0x00000000
swreg346  0x00000000
swreg347  0x00000000
swreg348  0x00000000
swreg349  0x80000000
swreg350  0x00000000
swreg351  0x00000000
swreg352  0x00000000
swreg353  0x00000000
swreg354  0x00000000
swreg355  0x00000000
swreg356  0x00000000
swreg357  0x00000000
swreg358  0x00000000
swreg359  0x00000000
swreg360  0x00000000
swreg361  0x00000000
swreg362  0x00000000
swreg363  0x00000000
swreg364  0x00000000
swreg365  0x00000000
swreg366  0x00000000
swreg367  0x00000000
swreg368  0x00000000
swreg369  0x00000000
swreg370  0x00000000
swreg371  0x00000000
swreg372  0x00000000
swreg373  0x00000000
swreg374  0x00000000
swreg375  0x00000000
swreg376  0x00000000
swreg377  0x00000000
swreg378  0x00000000
swreg379  0x00000000
swreg380  0x00000000
swreg381  0x00000000
swreg382  0x00000000
swreg383  0x00000000
swreg384  0x00000000
swreg385  0x00000000
swreg386  0x00000000
swreg387  0x00000000
swreg388  0x00000000
swreg389  0x00000000
swreg390  0x00000000
swreg391  0x00000000
swreg392  0x00000000
swreg393  0x00000000
swreg394  0x00000000
swreg395  0x00000000
swreg396  0x00000000
swreg397  0x00000000
swreg398  0x00000000
swreg399  0x00000000
swreg400  0x00000000
swreg401  0x00000000
swreg402  0x00000000
swreg403  0x00000000
swreg404  0x00000000
swreg405  0x00000000
swreg406  0x00000000
swreg407  0x00000000
swreg408  0x00000000
swreg409  0x00000000
swreg410  0x00000000
swreg411  0x00000000
swreg412  0x00000000
swreg413  0x00000000
swreg414  0x00000000
swreg415  0x00000000
swreg416  0x00000000
swreg417  0x00000000
swreg418  0x00000000
swreg419  0x00000000
swreg420  0x00000000
swreg421  0x00000000
swreg422  0x00000000
swreg423  0x00000000
swreg424  0x00000000
swreg425  0x00000000
swreg426  0x00000000
swreg427  0x00000000
swreg428  0x00000000
swreg429  0x00000000
swreg430  0x00100000
swreg431  0x00000000
swreg432  0x00000000
swreg433  0x00000000
swreg434  0x00000000
swreg435  0x00000000
swreg436  0x00000000
swreg437  0x00000000
swreg438  0x00000000
swreg439  0x00000000
swreg440  0x00000000
swreg441  0x00000000
swreg442  0x00000000
swreg443  0x00000000
swreg444  0x00000000
swreg445  0x00000000
swreg446  0x00000000
swreg447  0x00000000
swreg448  0x00000000
swreg449  0x00000000
swreg450  0x00000000
swreg451  0x00000000
swreg452  0x00000000
swreg453  0x00000000
swreg454  0x00000000
swreg455  0x00000000
swreg456  0x00000000
swreg457  0x00000000
swreg458  0x00000000
swreg459  0x00000000
swreg460  0x00000000
swreg461  0x00000000
swreg462  0x00000000
swreg463  0x00000000
swreg464  0x00000000
swreg465  0x00000000
swreg466  0x00000000
swreg467  0x00000000
swreg468  0x00000000
swreg469  0x00000000
swreg470  0x00000000
swreg471  0x00000000
swreg472  0x00000000
swreg473  0x00000000
swreg474  0x00000000
swreg475  0x00000000
swreg476  0x00000000
swreg477  0x00000000
swreg478  0x00000000
swreg479  0x00000000
swreg480  0x00000000
swreg481  0x00000000
swreg482  0x00000000
swreg483  0x00000000
swreg484  0x00000000
swreg485  0x00000000
swreg486  0x00000000
swreg487  0x00000000
swreg488  0x00000000
swreg489  0x00000000
swreg490  0x00000000
swreg491  0x00000000
swreg492  0x00000000
swreg493  0x00000000
swreg494  0x00000000
swreg495  0x00000000
swreg496  0x00000000
swreg497  0x00000000
swreg498  0x00000000
swreg499  0x00000000
swreg500  0x00000000
swreg501  0x00000000
swreg502  0x00000000
swreg503  0x00000000
swreg504  0x00000000
swreg505  0x00000000
swreg506  0x00000000
swreg507  0x00000000
swreg508  0x00000000
swreg509  0x00000000
swreg510  0x00000000
swreg511  0x00000000
