frame,type,bytes,slice_qp
0,I,17538,32
1,P,13522,35
2,P,7431,33
3,P,10638,32
4,P,6956,31
5,P,9530,30
6,P,7947,29
7,P,13404,28
8,P,6148,27
9,P,13770,26
10,P,6204,25
11,P,17540,24
12,P,7961,24
13,P,16589,23
14,P,6225,22
15,P,18517,21
16,P,5572,21
17,P,12053,21
18,P,8928,21
19,P,12751,21
20,P,7578,21
21,P,12335,21
22,P,9543,21
23,P,12626,21
24,P,2577,21
25,P,9759,21
26,P,9614,21
27,P,11885,21
28,P,7700,21
29,P,11861,21
30,I,19704,30
31,P,12360,33
32,P,6077,32
33,P,8377,31
34,P,8142,30
35,P,10971,29
36,P,10719,28
37,P,13750,27
38,P,9830,26
39,P,16987,25
40,P,8299,24
41,P,15187,23
42,P,9891,22
43,P,19756,21
44,P,9718,20
45,P,13777,19
46,P,10880,19
47,P,11884,19
48,P,3277,19
49,P,9880,19
50,P,10494,19
51,P,11949,19
52,P,7574,19
53,P,11319,19
54,P,11795,19
55,P,11233,19
56,P,2672,19
57,P,9440,19
58,P,10417,19
59,P,12132,19
60,I,22264,28
61,P,14208,31
62,P,6624,30
63,P,12732,29
64,P,7860,28
65,P,14114,27
66,P,6140,26
67,P,18756,25
68,P,6219,24
69,P,19948,23
70,P,7374,23
71,P,18658,22
72,P,6971,21
73,P,14606,20
74,P,8452,19
75,P,14531,18
76,P,7633,17
77,P,12717,17
78,P,9412,17
79,P,11914,17
80,P,2856,17
81,P,10004,17
82,P,9634,17
83,P,12117,17
84,P,8049,17
85,P,11678,17
86,P,10644,17
87,P,11554,17
88,P,2820,17
89,P,9706,17
