frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,23771,23675,35,0,4,2000,1,,0x90002300,36,35,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,562,558,38,1,8,2000,2,,0x90002600,36,38,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0328f000,0x00001400,0x00049042,0x00200003,0x0000000c,0x00000001
2,P,298,294,40,2,12,2000,3,,0x90002800,36,40,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00405000,0x00000400,0x0001a6c2,0x00200003,0x0000000c,0x00000002
3,P,311,307,41,3,16,2000,4,,0x90002900,36,41,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018f02,0x00200003,0x0000000c,0x00000003
4,P,244,240,42,4,20,2000,5,,0x90002a00,36,42,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00019c02,0x00200003,0x0000000c,0x00000004
5,P,172,168,43,5,24,2000,6,,0x90002b00,36,43,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001a202,0x00200003,0x0000000c,0x00000005
6,P,111,107,44,6,28,2000,7,,0x90002c00,36,44,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001a042,0x00200003,0x0000000c,0x00000006
7,P,93,89,45,7,32,2000,1,,0x90002d00,36,45,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001a282,0x00200003,0x0000000c,0x00000007
8,P,81,77,46,8,36,2000,2,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001a282,0x00200003,0x0000000c,0x00000008
9,P,93,89,47,9,40,2000,3,,0x90002f00,36,47,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001a442,0x00200003,0x0000000c,0x00000009
10,P,91,87,48,10,44,2000,4,,0x90003000,36,48,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001ad42,0x00200003,0x0000000c,0x0000000a
11,P,95,91,49,11,48,2000,5,,0x90003100,36,49,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001b082,0x00200003,0x0000000c,0x0000000b
12,P,144,140,50,12,52,2000,6,,0x90003200,36,50,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001b042,0x00200003,0x0000000c,0x0000000c
13,P,132,128,51,13,56,2000,7,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001c702,0x00200003,0x0000000c,0x0000000d
14,P,115,111,51,14,60,2000,1,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d1c2,0x00200003,0x0000000c,0x0000000e
15,P,123,119,51,15,64,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001e282,0x00200003,0x0000000c,0x0000000f
16,P,116,112,51,16,68,2000,3,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001ec02,0x00200003,0x0000000c,0x00000010
17,P,102,98,51,17,72,2000,4,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001f202,0x00200003,0x0000000c,0x00000011
18,P,112,108,51,18,76,2000,5,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001ee42,0x00200003,0x0000000c,0x00000012
19,P,151,147,51,19,80,2000,6,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001f5c2,0x00200003,0x0000000c,0x00000013
20,P,250,246,51,20,84,2000,7,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00020382,0x00200003,0x0000000c,0x00000014
21,P,108,104,51,21,88,2000,1,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00020f82,0x00200003,0x0000000c,0x00000015
22,P,128,124,51,22,92,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001f682,0x00200003,0x0000000c,0x00000016
23,P,241,237,51,23,96,2000,3,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00020202,0x00200003,0x0000000c,0x00000017
24,P,173,169,51,24,100,2000,4,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00021c42,0x00200003,0x0000000c,0x00000018
25,P,163,159,51,25,104,2000,5,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00022bc2,0x00200003,0x0000000c,0x00000019
26,P,196,192,51,26,108,2000,6,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00023ec2,0x00200003,0x0000000c,0x0000001a
27,P,143,139,51,27,112,2000,7,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00023c02,0x00200003,0x0000000c,0x0000001b
28,P,174,170,51,28,116,2000,1,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x000244c2,0x00200003,0x0000000c,0x0000001c
29,P,187,183,51,29,120,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x000277c2,0x00200003,0x0000000c,0x0000001d
30,I,22044,21948,36,28,124,2000,3,,0x90002400,36,36,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x0328f000,0x00001400,0x00049042,0x0020000b,0x0000000c,0x00000000
31,P,1023,1019,37,27,128,2000,4,,0x90002500,36,37,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00029842,0x00200003,0x0000000c,0x00000001
32,P,366,362,39,26,132,2000,5,,0x90002700,36,39,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00537800,0x001d9c00,0x0001dbc2,0x00200003,0x0000000c,0x00000002
33,P,385,381,40,25,136,2000,6,,0x90002800,36,40,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00500800,0x000a8000,0x0001c382,0x00200003,0x0000000c,0x00000003
34,P,296,292,42,24,140,2000,7,,0x90002a00,36,42,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00401000,0x00001400,0x0001cb02,0x00200003,0x0000000c,0x00000004
35,P,221,217,43,23,144,2000,1,,0x90002b00,36,43,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00500800,0x00300000,0x0001d102,0x00200003,0x0000000c,0x00000005
36,P,142,138,44,22,148,2000,2,,0x90002c00,36,44,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d202,0x00200003,0x0000000c,0x00000006
37,P,108,104,45,21,152,2000,3,,0x90002d00,36,45,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d002,0x00200003,0x0000000c,0x00000007
38,P,91,87,46,20,156,2000,4,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001cf42,0x00200003,0x0000000c,0x00000008
39,P,81,77,46,19,160,2000,5,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d742,0x00200003,0x0000000c,0x00000009
