frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,29084,28988,32,0,4,8000,1,,0x80002000,32,32,0x001adb00,0x001adb00,0x001adb00,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,4720,4716,35,1,8,8000,2,,0x80002300,32,35,0x0001f468,0x0000961f,0x0003e8d0,0x0000014f,0x0000066a,0x048bf000,0x00000800,0x00034802,0x00200003,0x0000000c,0x00000001
2,P,5946,5942,33,2,12,8000,3,,0x80002100,32,33,0x0001fab6,0x0001e160,0x0002140b,0x0000014f,0x0000066a,0x00d8e800,0x0043a800,0x00010282,0x00200003,0x0000000c,0x00000002
3,P,3673,3669,32,3,16,8000,4,,0x80002000,32,32,0x0002008b,0x0001e6ea,0x00021a2b,0x0000014f,0x0000066a,0x00634000,0x00910c00,0x0000d442,0x00200003,0x0000000c,0x00000003
4,P,3751,3747,31,4,20,8000,5,,0x80001f00,32,31,0x000207e9,0x0001edea,0x000221e7,0x0000014f,0x0000066a,0x00409800,0x00273800,0x0000bc82,0x00200003,0x0000000c,0x00000004
5,P,4211,4207,30,5,24,8000,6,,0x80001e00,32,30,0x00020f82,0x00009e40,0x00041f04,0x0000014f,0x0000066a,0x00657800,0x004b0800,0x0000a282,0x00200003,0x0000000c,0x00000005
6,P,4223,4219,29,6,28,8000,7,,0x80001d00,32,29,0x0002171f,0x0001fc5d,0x000231e0,0x0000014f,0x0000066a,0x00803800,0x0037b400,0x00008b42,0x00200003,0x0000000c,0x00000006
7,P,3949,3945,28,7,32,8000,1,,0x80001c00,32,28,0x00021f07,0x000203e0,0x00023a2d,0x0000014f,0x0000066a,0x00d10000,0x0049f000,0x00007f42,0x00200003,0x0000000c,0x00000007
8,P,4082,4078,27,8,36,8000,2,,0x80001b00,32,27,0x0002276c,0x00020bd9,0x000242fe,0x0000014f,0x0000066a,0x00f39000,0x00367000,0x00007042,0x00200003,0x0000000c,0x00000008
9,P,4123,4119,26,9,40,8000,3,,0x80001a00,32,26,0x00023012,0x00021411,0x00024c12,0x0000014f,0x0000066a,0x00acc000,0x004eb800,0x000066c2,0x00200003,0x0000000c,0x00000009
10,P,3968,3964,25,10,44,8000,4,,0x80001900,32,25,0x0002390e,0x00021c9a,0x00025581,0x0000014f,0x0000066a,0x00557000,0x0044c800,0x00005e82,0x00200003,0x0000000c,0x0000000a
11,P,4997,4993,24,11,48,8000,5,,0x80001800,32,24,0x00024286,0x00022598,0x00025f73,0x0000014f,0x0000066a,0x00573800,0x0041c800,0x00005682,0x00200003,0x0000000c,0x0000000b
12,P,5287,5283,23,12,52,8000,6,,0x80001700,32,23,0x00024bb5,0x00022e52,0x00026917,0x0000014f,0x0000066a,0x0046e000,0x0033c000,0x00005442,0x00200003,0x0000000c,0x0000000c
13,P,5587,5583,22,13,56,8000,7,,0x80001600,32,22,0x00025518,0x0002373d,0x000272f2,0x0000014f,0x0000066a,0x0061e800,0x002f2800,0x000055c2,0x00200003,0x0000000c,0x0000000d
14,P,6911,6907,21,14,60,8000,1,,0x80001500,32,21,0x00025eb2,0x0002405c,0x00027d07,0x0000014f,0x0000066a,0x007fc800,0x003a2c00,0x00004942,0x00200003,0x0000000c,0x0000000e
15,P,2638,2634,21,15,64,8000,2,,0x80001500,32,21,0x000267c8,0x0000b8bc,0x0004cf90,0x0000014f,0x0000066a,0x00c30000,0x003e2800,0x00004cc2,0x00200003,0x0000000c,0x0000000f
