frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30842,30802,32,0,0,8000,1,,0x80002000,32,32,0x001adb00,0x001adb00,0x001adb00,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,18817,18817,35,1,540,8000,2,,0x80002300,32,35,0x0001f184,0x00009541,0x0003e308,0x0000014f,0x0000066a,0x02ca4000,0x00004400,0x0037c0c2,0x00000003,0x0000000c,0x00000001
2,P,13123,13123,37,2,1080,8000,3,,0x80002500,32,37,0x0001efe7,0x000094c5,0x0003dfce,0x0000014f,0x0000066a,0x06640000,0x014c5800,0x003d1c02,0x00000003,0x0000000c,0x00000002
3,P,18617,18617,35,3,1620,8000,4,,0x80002300,32,35,0x0001f176,0x0000953d,0x0003e2ec,0x0000014f,0x0000066a,0x0351d000,0x020c6400,0x00451e02,0x00000003,0x0000000c,0x00000003
4,P,14355,14355,37,4,2160,8000,5,,0x80002500,32,37,0x0001efe6,0x000094c5,0x0003dfcc,0x0000014f,0x0000066a,0x040bb800,0x02706000,0x003be402,0x00000003,0x0000000c,0x00000004
5,P,18399,18399,35,5,2700,8000,6,,0x80002300,32,35,0x0001f0cb,0x00009509,0x0003e196,0x0000014f,0x0000066a,0x0347f000,0x0215d400,0x00455682,0x00000003,0x0000000c,0x00000005
6,P,12130,12130,37,6,3240,8000,7,,0x80002500,32,37,0x0001ef4a,0x00009496,0x0003de94,0x0000014f,0x0000066a,0x042b9000,0x02426400,0x003d2242,0x00000003,0x0000000c,0x00000006
7,P,18590,18590,35,7,3780,8000,1,,0x80002300,32,35,0x0001f191,0x00009545,0x0003e322,0x0000014f,0x0000066a,0x035b2800,0x01e6b000,0x004931c2,0x00000003,0x0000000c,0x00000007
8,P,12360,12360,37,8,4320,8000,2,,0x80002500,32,37,0x0001efe6,0x000094c5,0x0003dfcc,0x0000014f,0x0000066a,0x03bff000,0x02262400,0x003be942,0x00000003,0x0000000c,0x00000008
9,P,18035,18035,35,9,4860,8000,3,,0x80002300,32,35,0x0001f223,0x00009570,0x0003e446,0x0000014f,0x0000066a,0x032b1800,0x0226d000,0x00488a02,0x00000003,0x0000000c,0x00000009
10,P,12363,12363,37,10,5400,8000,4,,0x80002500,32,37,0x0001f0c6,0x00009508,0x0003e18c,0x0000014f,0x0000066a,0x055d6000,0x011b6400,0x003cf7c2,0x00000003,0x0000000c,0x0000000a
11,P,18449,18449,35,11,5940,8000,5,,0x80002300,32,35,0x0001f320,0x000095bc,0x0003e640,0x0000014f,0x0000066a,0x0333e800,0x02367000,0x0048b502,0x00000003,0x0000000c,0x0000000b
12,P,12271,12271,37,12,6480,8000,6,,0x80002500,32,37,0x0001f171,0x0000953b,0x0003e2e2,0x0000014f,0x0000066a,0x045be800,0x01e26000,0x003b8002,0x00000003,0x0000000c,0x0000000c
